model_slug,own_label_band,round_phase,n,unsafe_rate
google-gemini-3-flash-preview,own_high_5_6,round_1,120,1.0
google-gemini-3-flash-preview,own_high_5_6,early_r2_4,360,0.775
google-gemini-3-flash-preview,own_high_5_6,mid_r5_8,396,0.946969696969697
google-gemini-3-flash-preview,own_high_5_6,late_r9plus,240,0.9541666666666667
google-gemini-3-flash-preview,own_low_1_2,round_1,570,0.0
google-gemini-3-flash-preview,own_low_1_2,early_r2_4,1710,0.30292397660818715
google-gemini-3-flash-preview,own_low_1_2,mid_r5_8,1881,0.38064859117490696
google-gemini-3-flash-preview,own_low_1_2,late_r9plus,1098,0.3907103825136612
google-gemini-3-flash-preview,own_mid_3_4,round_1,330,0.9878787878787879
google-gemini-3-flash-preview,own_mid_3_4,early_r2_4,810,0.3728395061728395
google-gemini-3-flash-preview,own_mid_3_4,mid_r5_8,891,0.6060606060606061
google-gemini-3-flash-preview,own_mid_3_4,late_r9plus,498,0.7088353413654619
gpt-5-nano,own_high_5_6,round_1,720,0.0763888888888889
gpt-5-nano,own_high_5_6,early_r2_4,2160,0.6805555555555556
gpt-5-nano,own_high_5_6,mid_r5_8,2376,0.5290404040404041
gpt-5-nano,own_high_5_6,late_r9plus,1440,0.43194444444444446
gpt-5-nano,own_low_1_2,round_1,720,0.0
gpt-5-nano,own_low_1_2,early_r2_4,2160,0.010648148148148148
gpt-5-nano,own_low_1_2,mid_r5_8,2376,0.025673400673400674
gpt-5-nano,own_low_1_2,late_r9plus,1440,0.013888888888888888
gpt-5-nano,own_mid_3_4,round_1,720,0.027777777777777776
gpt-5-nano,own_mid_3_4,early_r2_4,2160,0.4
gpt-5-nano,own_mid_3_4,mid_r5_8,2376,0.3303872053872054
gpt-5-nano,own_mid_3_4,late_r9plus,1440,0.2826388888888889
gpt-5.4-nano,own_high_5_6,round_1,720,1.0
gpt-5.4-nano,own_high_5_6,early_r2_4,2160,0.8916666666666667
gpt-5.4-nano,own_high_5_6,mid_r5_8,2376,0.8674242424242424
gpt-5.4-nano,own_high_5_6,late_r9plus,1440,0.8486111111111111
gpt-5.4-nano,own_low_1_2,round_1,720,0.0
gpt-5.4-nano,own_low_1_2,early_r2_4,2160,0.0023148148148148147
gpt-5.4-nano,own_low_1_2,mid_r5_8,2376,0.004208754208754209
gpt-5.4-nano,own_low_1_2,late_r9plus,1440,0.004166666666666667
gpt-5.4-nano,own_mid_3_4,round_1,720,0.6958333333333333
gpt-5.4-nano,own_mid_3_4,early_r2_4,2160,0.4023148148148148
gpt-5.4-nano,own_mid_3_4,mid_r5_8,2376,0.3720538720538721
gpt-5.4-nano,own_mid_3_4,late_r9plus,1440,0.3368055555555556
