model_slug,horizon_band,n,unsafe_rate
google-gemini-3-flash-preview,long_9_10,3414,0.46719390743995315
google-gemini-3-flash-preview,mid_7_8,1926,0.4532710280373832
google-gemini-3-flash-preview,short_5_6,1290,0.42790697674418604
google-gemini-3-flash-preview,very_long_11plus,4416,0.48029891304347827
gpt-5-nano,long_9_10,7224,0.26716500553709854
gpt-5-nano,mid_7_8,3870,0.27622739018087855
gpt-5-nano,short_5_6,2580,0.26976744186046514
gpt-5-nano,very_long_11plus,10320,0.25949612403100775
gpt-5.4-nano,long_9_10,7224,0.44019933554817275
gpt-5.4-nano,mid_7_8,3870,0.44728682170542633
gpt-5.4-nano,short_5_6,2580,0.45813953488372094
gpt-5.4-nano,very_long_11plus,10320,0.4233527131782946
