analysis_scope,model_slug,rounds_remaining_band,n,unsafe_rate,ci95_low,ci95_high
all_completed,google-gemini-3-flash-preview,0,1230,0.5235772357723577,0.49566528786639846,0.551489183678317
all_completed,google-gemini-3-flash-preview,1,1224,0.5196078431372549,0.49161795482530046,0.5475977314492094
all_completed,google-gemini-3-flash-preview,2,1218,0.47783251231527096,0.44977977861456714,0.5058852460159748
all_completed,google-gemini-3-flash-preview,3,1218,0.4638752052545156,0.4358682463939446,0.49188216411508656
all_completed,google-gemini-3-flash-preview,4plus,6156,0.44087069525666017,0.42846793042106124,0.4532734600922591
all_completed,gpt-5-nano,0,2580,0.25155038759689924,0.23480712850629604,0.26829364668750244
all_completed,gpt-5-nano,1,2580,0.26666666666666666,0.24960264878435995,0.2837306845489734
all_completed,gpt-5-nano,2,2580,0.25155038759689924,0.23480712850629604,0.26829364668750244
all_completed,gpt-5-nano,3,2580,0.3065891472868217,0.2887973457924624,0.32438094878118096
all_completed,gpt-5-nano,4plus,13674,0.26298083954951,0.2556016319837789,0.27036004711524114
all_completed,gpt-5.4-nano,0,2580,0.40968992248062014,0.39071351673299776,0.4286663282282425
all_completed,gpt-5.4-nano,1,2580,0.4166666666666667,0.3976427911921313,0.43569054214120206
all_completed,gpt-5.4-nano,2,2580,0.4310077519379845,0.4118985771073323,0.45011692676863674
all_completed,gpt-5.4-nano,3,2580,0.41007751937984493,0.3910983731267995,0.42905666563289035
all_completed,gpt-5.4-nano,4plus,13674,0.4504899809858125,0.44215050697741154,0.45882945499421346
baseline_completed,google-gemini-3-flash-preview,0,60,0.8333333333333334,0.7390327893656945,0.9276338773009722
baseline_completed,google-gemini-3-flash-preview,1,60,0.8,0.6987860352191129,0.9012139647808872
baseline_completed,google-gemini-3-flash-preview,2,60,0.7,0.5840448362512475,0.8159551637487524
baseline_completed,google-gemini-3-flash-preview,3,60,0.7333333333333333,0.621437085092517,0.8452295815741495
baseline_completed,google-gemini-3-flash-preview,4plus,318,0.7610062893081762,0.7141325208395654,0.807880057776787
baseline_completed,google-gemini-3.1-flash-lite-preview,0,60,0.8166666666666667,0.7187574494559524,0.9145758838773809
baseline_completed,google-gemini-3.1-flash-lite-preview,1,60,0.8666666666666667,0.7806513364223606,0.9526819969109728
baseline_completed,google-gemini-3.1-flash-lite-preview,2,60,0.7833333333333333,0.6790896373697493,0.8875770292969174
baseline_completed,google-gemini-3.1-flash-lite-preview,3,60,0.8333333333333334,0.7390327893656945,0.9276338773009722
baseline_completed,google-gemini-3.1-flash-lite-preview,4plus,318,0.8427672955974843,0.8027573656887551,0.8827772255062135
baseline_completed,google-gemini-3.5-flash-lite,0,60,0.7833333333333333,0.6790896373697493,0.8875770292969174
baseline_completed,google-gemini-3.5-flash-lite,1,60,0.7166666666666667,0.6026448688805838,0.8306884644527496
baseline_completed,google-gemini-3.5-flash-lite,2,60,0.7166666666666667,0.6026448688805838,0.8306884644527496
baseline_completed,google-gemini-3.5-flash-lite,3,60,0.65,0.5293100390808471,0.770689960919153
baseline_completed,google-gemini-3.5-flash-lite,4plus,318,0.7075471698113207,0.6575496887326194,0.757544650890022
baseline_completed,gpt-5-nano,0,60,0.1,0.024089526414334636,0.17591047358566536
baseline_completed,gpt-5-nano,1,60,0.08333333333333333,0.013398178182823184,0.15326848848384347
baseline_completed,gpt-5-nano,2,60,0.11666666666666667,0.0354367232732129,0.19789661006012044
baseline_completed,gpt-5-nano,3,60,0.18333333333333332,0.08542411612261912,0.2812425505440475
baseline_completed,gpt-5-nano,4plus,318,0.12578616352201258,0.08933866013386213,0.16223366691016303
baseline_completed,gpt-5.4-nano,0,60,0.65,0.5293100390808471,0.770689960919153
baseline_completed,gpt-5.4-nano,1,60,0.48333333333333334,0.35688618436791986,0.6097804822987468
baseline_completed,gpt-5.4-nano,2,60,0.5166666666666667,0.3902195177012532,0.6431138156320803
baseline_completed,gpt-5.4-nano,3,60,0.5833333333333334,0.45858543941509106,0.7080812272515757
baseline_completed,gpt-5.4-nano,4plus,318,0.5377358490566038,0.48293691459163623,0.5925347835215713
