scope,estimand,n_safe_p_clusters,n_safe_q_clusters,temperature_delta_safe_p,temperature_delta_safe_q,mapping_interaction_safe_p_minus_safe_q,interaction_ci95_low,interaction_ci95_high,claim_boundary
all_contexts,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
all_contexts,full_trajectory,16,16,0.060723812883739355,0.0,0.060723812883739355,0.041000534604624675,0.08142601141624575,diagnostic; mapping is assigned by repetition parity
abstract_contest,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
abstract_contest,full_trajectory,16,16,0.13065427559912854,0.0,0.13065427559912854,0.06614251429738563,0.20083690767973852,diagnostic; mapping is assigned by repetition parity
colony_life_support,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
colony_life_support,full_trajectory,16,16,0.015475372598534357,0.0,0.015475372598534357,-0.01815603182560903,0.04850511471949889,diagnostic; mapping is assigned by repetition parity
crystal_guild_contract,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
crystal_guild_contract,full_trajectory,16,16,0.005528012972865916,0.0,0.005528012972865916,-0.04244823387056843,0.05495999362497524,diagnostic; mapping is assigned by repetition parity
fictional_cartography,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
fictional_cartography,full_trajectory,16,16,0.09940907234105763,0.0,0.09940907234105763,0.048885550511239856,0.15324074074074076,diagnostic; mapping is assigned by repetition parity
hospital_deployment,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
hospital_deployment,full_trajectory,16,16,-0.03552312339077045,0.0,-0.03552312339077045,-0.06211225304515747,-0.008099809368191744,diagnostic; mapping is assigned by repetition parity
logistics_contract,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
logistics_contract,full_trajectory,16,16,-0.055067835214894036,0.0,-0.055067835214894036,-0.07575465129233512,-0.0339636716428996,diagnostic; mapping is assigned by repetition parity
robotic_expedition,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
robotic_expedition,full_trajectory,16,16,0.18314718879976233,0.0,0.18314718879976233,0.11390436998663102,0.24926400958110523,diagnostic; mapping is assigned by repetition parity
technology_race,first_round,16,16,0.0,0.0,0.0,0.0,0.0,diagnostic; mapping is assigned by repetition parity
technology_race,full_trajectory,16,16,0.14216753936423054,0.0,0.14216753936423054,0.08784632863562092,0.1966809756573084,diagnostic; mapping is assigned by repetition parity
