participant_id,group_id,round_number,max_private_risk,decision,decision_opponent,decision_lag,decision_opponent_lag,acc_steps,acc_steps_opponent,acc_steps_lag,acc_steps_opponent_lag,delta_steps_lag,won_race,num_rounds,sex,age,nationality_group,risk_gamble_choice
P0001,G0077,1,0.9,0.0,0.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,2,0.9,0.0,0.0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,3,0.9,0.0,0.0,0,0,3.0,3.0,2.0,2.0,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,4,0.9,1.0,0.0,0,0,4.5,4.0,3.0,3.0,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,5,0.9,0.0,1.0,1,0,5.5,5.5,4.5,4.0,0.5,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,6,0.9,0.0,0.0,0,1,6.5,6.5,5.5,5.5,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,7,0.9,1.0,0.0,0,0,8.0,7.5,6.5,6.5,0.0,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,8,0.9,1.0,1.0,1,0,9.5,9.0,8.0,7.5,0.5,0.0,9.0,Male,28-32,Other,1.0
P0001,G0077,9,0.9,1.0,1.0,1,1,11.0,10.5,9.5,9.0,0.5,1.0,9.0,Male,28-32,Other,1.0
P0002,G0089,1,0.6,1.0,0.0,-1,-1,1.5,1.0,0.0,0.0,0.0,0.0,5.0,Male,28-32,Poland,4.0
P0002,G0089,2,0.6,0.0,1.0,1,0,2.5,2.5,1.5,1.0,0.5,0.0,5.0,Male,28-32,Poland,4.0
P0002,G0089,3,0.6,0.0,1.0,0,1,3.5,4.0,2.5,2.5,0.0,0.0,5.0,Male,28-32,Poland,4.0
P0002,G0089,4,0.6,0.0,0.0,0,1,4.5,5.0,3.5,4.0,-0.5,0.0,5.0,Male,28-32,Poland,4.0
