model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_decisions,parse_failures,parse_failure_rate,total_retries,mean_retries,n_races,contaminated_races,parse_clean_races,canonical_mechanism_races,forced_stop_races,behavioral_races,noncanonical_mechanism_races
google/gemini-3-flash-preview,0.1,R+,ai-race-fairgame-v3,0c3bf15251a358e304264ea28bef87dae4bde546e394762dd96506cc4248ad64,pilot,completed,186,0,0.0,16.0,0.08602150537634409,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R-,ai-race-fairgame-v3,9a893d14110776eb4f0c57f8461bb1e46b856eb9970878b6026500c6571e840c,pilot,completed,186,0,0.0,9.0,0.04838709677419355,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R0,ai-race-fairgame-v3,24ae349d06dd496859ec3963fc51abf44053b33a59fb84e284ef3a169ea16083,pilot,completed,186,0,0.0,2.0,0.010752688172043012,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R1,ai-race-fairgame-v3,fda220309371e63ea3923ddd0eb2c932008c0e5d7b781c3081e0fd2695bf91ad,pilot,completed,186,0,0.0,9.0,0.04838709677419355,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R2,ai-race-fairgame-v3,0155c897cb80073899c74de5772e440882cf90c259946beb6c1c9f409c771095,pilot,completed,186,0,0.0,10.0,0.053763440860215055,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R3,ai-race-fairgame-v3,e094769790771bbb867f871152b3869e592a3ea75216647faca3babf4717b9b2,pilot,completed,186,0,0.0,8.0,0.043010752688172046,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R4,ai-race-fairgame-v3,90caa184f8f63392a9e9add1276d33ba2d47587cceca248f31b07a6c13242bd9,pilot,completed,186,0,0.0,8.0,0.043010752688172046,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R5,ai-race-fairgame-v3,7070f64a43a39818896d80b53dc7f05949a9bb6c717cad036793e4301396c532,pilot,completed,186,0,0.0,12.0,0.06451612903225806,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R1-R6,ai-race-fairgame-v3,72fdad899c984ad38c2100883dcfdf0044c4ab51999e9cf3a422a771073c41b1,pilot,completed,186,0,0.0,8.0,0.043010752688172046,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R2-R1,ai-race-fairgame-v3,233df2e39a7764e96eec0663236e32095e2b744a5b17cc6a44598bb3fffd3189,pilot,completed,186,0,0.0,4.0,0.021505376344086023,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R2-R2,ai-race-fairgame-v3,00b5bfeb6cb481a657d43f301d74449f7e63b308c3629d381fbcd55049f8775c,pilot,completed,186,0,0.0,6.0,0.03225806451612903,10,0,10,10,0,10,0
google/gemini-3-flash-preview,0.1,R2-R3,ai-race-fairgame-v3,6bf202261e41dc424f5975cef28281046ef3ab3be938b58b3d76b6286606f21e,pilot,completed,186,0,0.0,11.0,0.05913978494623656,10,0,10,10,0,10,0
