seat_model_key,dyad_type,persona_condition,self_identity_condition,max_private_risk,round_phase,accurate,not_disclosed,opponent_label_effect_pp
mistral7_01,cross_family,competitive,accurate,0.1,round 1,1.0,1.0,0.0
mistral7_01,cross_family,competitive,accurate,0.1,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,competitive,accurate,0.6,round 1,1.0,1.0,0.0
mistral7_01,cross_family,competitive,accurate,0.6,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,competitive,accurate,0.9,round 1,1.0,1.0,0.0
mistral7_01,cross_family,competitive,accurate,0.9,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,competitive,not_disclosed,0.1,round 1,1.0,0.5,50.0
mistral7_01,cross_family,competitive,not_disclosed,0.1,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,competitive,not_disclosed,0.6,round 1,1.0,0.5,50.0
mistral7_01,cross_family,competitive,not_disclosed,0.6,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,competitive,not_disclosed,0.9,round 1,1.0,0.5,50.0
mistral7_01,cross_family,competitive,not_disclosed,0.9,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,accurate,0.1,round 1,0.0,1.0,-100.0
mistral7_01,cross_family,neutral,accurate,0.1,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,accurate,0.6,round 1,0.0,0.5,-50.0
mistral7_01,cross_family,neutral,accurate,0.6,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,accurate,0.9,round 1,0.0,1.0,-100.0
mistral7_01,cross_family,neutral,accurate,0.9,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.1,round 1,0.0,0.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.1,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.6,round 1,0.0,0.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.6,round 2+,1.0,1.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.9,round 1,0.0,0.0,0.0
mistral7_01,cross_family,neutral,not_disclosed,0.9,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.1,round 1,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.1,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.6,round 1,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.6,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.9,round 1,1.0,1.0,0.0
mistral7_01,same_family,competitive,accurate,0.9,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,not_disclosed,0.1,round 1,1.0,0.5,50.0
mistral7_01,same_family,competitive,not_disclosed,0.1,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,not_disclosed,0.6,round 1,1.0,0.5,50.0
mistral7_01,same_family,competitive,not_disclosed,0.6,round 2+,1.0,1.0,0.0
mistral7_01,same_family,competitive,not_disclosed,0.9,round 1,1.0,0.5,50.0
mistral7_01,same_family,competitive,not_disclosed,0.9,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,accurate,0.1,round 1,0.0,1.0,-100.0
mistral7_01,same_family,neutral,accurate,0.1,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,accurate,0.6,round 1,0.0,0.5,-50.0
mistral7_01,same_family,neutral,accurate,0.6,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,accurate,0.9,round 1,0.0,1.0,-100.0
mistral7_01,same_family,neutral,accurate,0.9,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,not_disclosed,0.1,round 1,0.5,0.0,50.0
mistral7_01,same_family,neutral,not_disclosed,0.1,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,not_disclosed,0.6,round 1,0.0,0.0,0.0
mistral7_01,same_family,neutral,not_disclosed,0.6,round 2+,1.0,1.0,0.0
mistral7_01,same_family,neutral,not_disclosed,0.9,round 1,0.5,0.0,50.0
mistral7_01,same_family,neutral,not_disclosed,0.9,round 2+,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,accurate,0.1,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,accurate,0.1,round 2+,0.7272727272727273,0.7727272727272727,-4.545454545454541
qwen25_7b,cross_family,competitive,accurate,0.6,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,accurate,0.6,round 2+,0.6818181818181818,0.7272727272727273,-4.545454545454552
qwen25_7b,cross_family,competitive,accurate,0.9,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,accurate,0.9,round 2+,0.6363636363636364,0.6818181818181818,-4.545454545454541
qwen25_7b,cross_family,competitive,not_disclosed,0.1,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,not_disclosed,0.1,round 2+,0.7272727272727273,0.8636363636363636,-13.636363636363635
qwen25_7b,cross_family,competitive,not_disclosed,0.6,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,not_disclosed,0.6,round 2+,0.7272727272727273,0.8636363636363636,-13.636363636363635
qwen25_7b,cross_family,competitive,not_disclosed,0.9,round 1,1.0,1.0,0.0
qwen25_7b,cross_family,competitive,not_disclosed,0.9,round 2+,0.6818181818181818,0.8181818181818182,-13.636363636363647
qwen25_7b,cross_family,neutral,accurate,0.1,round 1,0.5,0.0,50.0
qwen25_7b,cross_family,neutral,accurate,0.1,round 2+,0.9545454545454546,1.0,-4.545454545454541
qwen25_7b,cross_family,neutral,accurate,0.6,round 1,0.5,0.0,50.0
qwen25_7b,cross_family,neutral,accurate,0.6,round 2+,0.9545454545454546,0.9545454545454546,0.0
qwen25_7b,cross_family,neutral,accurate,0.9,round 1,0.5,0.5,0.0
qwen25_7b,cross_family,neutral,accurate,0.9,round 2+,0.9545454545454546,0.8181818181818182,13.636363636363635
qwen25_7b,cross_family,neutral,not_disclosed,0.1,round 1,0.0,0.0,0.0
qwen25_7b,cross_family,neutral,not_disclosed,0.1,round 2+,0.9090909090909091,0.8181818181818182,9.090909090909083
qwen25_7b,cross_family,neutral,not_disclosed,0.6,round 1,0.0,0.0,0.0
qwen25_7b,cross_family,neutral,not_disclosed,0.6,round 2+,0.9090909090909091,0.9090909090909091,0.0
qwen25_7b,cross_family,neutral,not_disclosed,0.9,round 1,0.0,0.0,0.0
qwen25_7b,cross_family,neutral,not_disclosed,0.9,round 2+,0.8636363636363636,0.8181818181818182,4.545454545454541
qwen25_7b,same_family,competitive,accurate,0.1,round 1,1.0,1.0,0.0
qwen25_7b,same_family,competitive,accurate,0.1,round 2+,0.5454545454545454,0.5454545454545454,0.0
qwen25_7b,same_family,competitive,accurate,0.6,round 1,1.0,1.0,0.0
qwen25_7b,same_family,competitive,accurate,0.6,round 2+,0.5454545454545454,0.5454545454545454,0.0
qwen25_7b,same_family,competitive,accurate,0.9,round 1,1.0,1.0,0.0
qwen25_7b,same_family,competitive,accurate,0.9,round 2+,0.45454545454545453,0.45454545454545453,0.0
qwen25_7b,same_family,competitive,not_disclosed,0.1,round 1,1.0,1.0,0.0
qwen25_7b,same_family,competitive,not_disclosed,0.1,round 2+,0.5454545454545454,0.6363636363636364,-9.090909090909093
qwen25_7b,same_family,competitive,not_disclosed,0.6,round 1,0.5,1.0,-50.0
qwen25_7b,same_family,competitive,not_disclosed,0.6,round 2+,1.0,0.5454545454545454,45.45454545454546
qwen25_7b,same_family,competitive,not_disclosed,0.9,round 1,1.0,1.0,0.0
