seat_model_key,persona_condition,position,unsafe_rate,n_decisions
mistral7_01,competitive,ahead,1.0,222
mistral7_01,competitive,behind,1.0,66
mistral7_01,competitive,tied,0.9642857142857143,336
mistral7_01,neutral,ahead,1.0,98
mistral7_01,neutral,behind,1.0,66
mistral7_01,neutral,tied,0.8434782608695652,460
qwen25_7b,competitive,ahead,1.0,51
qwen25_7b,competitive,behind,0.8599033816425121,207
qwen25_7b,competitive,tied,0.5710382513661202,366
qwen25_7b,neutral,ahead,1.0,83
qwen25_7b,neutral,behind,0.9391304347826087,115
qwen25_7b,neutral,tied,0.7253521126760564,426
