code,coef,abs_coef,direction,mean_code,mean_abs_code,sparsity_ratio,rank
z008,-2.6335583461291545,2.6335583461291545,safe+,1.620394229888916,1.620394229888916,0.4094932844932845,1
z002,-1.1319954997421826,1.1319954997421826,safe+,2.2631990909576416,2.2631990909576416,0.47176434676434675,2
z014,0.9415201810348777,0.9415201810348777,unsafe+,-0.9500566720962524,0.9500566720962524,0.2689255189255189,3
z011,-0.8982155768765135,0.8982155768765135,safe+,-2.3375871181488037,2.3375871181488037,0.5786019536019537,4
z006,0.8085270452373834,0.8085270452373834,unsafe+,2.1207642555236816,2.1207642555236816,0.49511599511599513,5
z015,0.5285762406772305,0.5285762406772305,unsafe+,1.0372120141983032,1.0372120141983032,0.3156288156288156,6
z009,-0.4684744656170078,0.4684744656170078,safe+,-1.9802281856536865,1.9802281856536865,0.34065934065934067,7
z010,0.46549327476149327,0.46549327476149327,unsafe+,1.1644198894500732,1.1644198894500732,0.3108974358974359,8
z000,0.461014782422047,0.461014782422047,unsafe+,2.8063266277313232,2.8063266277313232,0.6076007326007326,9
z013,-0.4175370470272731,0.4175370470272731,safe+,0.9869289994239807,0.9869289994239807,0.24206349206349206,10
z007,0.29206650671166334,0.29206650671166334,unsafe+,2.0956332683563232,2.0956332683563232,0.604090354090354,11
z003,0.26976341340111476,0.26976341340111476,unsafe+,2.2525696754455566,2.2525696754455566,0.4864163614163614,12
z012,0.2550297385878705,0.2550297385878705,unsafe+,1.630997896194458,1.630997896194458,0.37164224664224665,13
z005,0.24818200571103263,0.24818200571103263,unsafe+,1.0789713859558105,1.0789713859558105,0.30540293040293043,14
z001,0.18645705986108288,0.18645705986108288,unsafe+,2.10614275932312,2.10614275932312,0.42384004884004883,15
z004,0.002985468200220057,0.002985468200220057,unsafe+,0.3287618160247803,0.3287618160247803,0.0202991452991453,16
