risk_cap,population,model_distinct,comparison_n,n_human_dyads,human_draw_mean,human_draw_q025,human_draw_q975,human_draw_min,human_draw_max,below_every_human_draw
0.1,Gemini 3 Flash,3,20,48,18.5889,16.0,20.0,12,20,True
0.1,Claude Opus 5,1,20,48,18.5889,16.0,20.0,12,20,True
0.1,GPT-5.4,5,20,48,18.5889,16.0,20.0,12,20,True
0.1,GPT-5.5,11,20,48,18.5889,16.0,20.0,12,20,True
0.1,Claude Sonnet 5,2,20,48,18.5889,16.0,20.0,12,20,True
0.1,Gemini 3.1 Flash Lite,3,20,48,18.5889,16.0,20.0,12,20,True
0.1,GPT-5.4 mini,20,20,48,18.5889,16.0,20.0,12,20,False
0.1,Gemini 3.5 Flash Lite,10,20,48,18.5889,16.0,20.0,12,20,True
0.1,GPT-5.4 nano,16,20,48,18.5889,16.0,20.0,12,20,False
0.6,Gemini 3 Flash,14,20,52,19.6124,18.0,20.0,15,20,True
0.6,Claude Opus 5,1,20,52,19.6124,18.0,20.0,15,20,True
0.6,GPT-5.4,11,20,52,19.6124,18.0,20.0,15,20,True
0.6,GPT-5.5,13,20,52,19.6124,18.0,20.0,15,20,True
0.6,Claude Sonnet 5,5,20,52,19.6124,18.0,20.0,15,20,True
0.6,Gemini 3.1 Flash Lite,7,20,52,19.6124,18.0,20.0,15,20,True
0.6,GPT-5.4 mini,17,20,52,19.6124,18.0,20.0,15,20,False
0.6,Gemini 3.5 Flash Lite,13,20,52,19.6124,18.0,20.0,15,20,True
0.6,GPT-5.4 nano,19,20,52,19.6124,18.0,20.0,15,20,False
0.9,Gemini 3 Flash,12,20,68,19.24295,17.0,20.0,13,20,True
0.9,Claude Opus 5,1,20,68,19.24295,17.0,20.0,13,20,True
0.9,GPT-5.4,14,20,68,19.24295,17.0,20.0,13,20,False
0.9,GPT-5.5,13,20,68,19.24295,17.0,20.0,13,20,False
0.9,Claude Sonnet 5,7,20,68,19.24295,17.0,20.0,13,20,True
0.9,Gemini 3.1 Flash Lite,7,20,68,19.24295,17.0,20.0,13,20,True
0.9,GPT-5.4 mini,17,20,68,19.24295,17.0,20.0,13,20,False
0.9,Gemini 3.5 Flash Lite,13,20,68,19.24295,17.0,20.0,13,20,False
0.9,GPT-5.4 nano,16,20,68,19.24295,17.0,20.0,13,20,False
