skin_id,max_private_risk,mapping_id,phase,unsafe_rate,n_decisions,code_p_rate
abstract_contest,0.1,safe_p,first_round,0.0,2,1.0
abstract_contest,0.1,safe_p,later_rounds,0.0,8,1.0
abstract_contest,0.1,safe_q,first_round,0.0,2,0.0
abstract_contest,0.1,safe_q,later_rounds,0.0,12,0.0
abstract_contest,0.6,safe_p,first_round,0.0,2,1.0
abstract_contest,0.6,safe_p,later_rounds,0.0,8,1.0
abstract_contest,0.6,safe_q,first_round,0.0,2,0.0
abstract_contest,0.6,safe_q,later_rounds,0.0,12,0.0
abstract_contest,0.9,safe_p,first_round,0.0,2,1.0
abstract_contest,0.9,safe_p,later_rounds,0.0,8,1.0
abstract_contest,0.9,safe_q,first_round,0.0,2,0.0
abstract_contest,0.9,safe_q,later_rounds,0.0,12,0.0
colony_life_support,0.1,safe_p,first_round,0.0,2,1.0
colony_life_support,0.1,safe_p,later_rounds,0.5,8,0.5
colony_life_support,0.1,safe_q,first_round,0.0,2,0.0
colony_life_support,0.1,safe_q,later_rounds,0.0,12,0.0
colony_life_support,0.6,safe_p,first_round,0.0,2,1.0
colony_life_support,0.6,safe_p,later_rounds,0.375,8,0.625
colony_life_support,0.6,safe_q,first_round,0.0,2,0.0
colony_life_support,0.6,safe_q,later_rounds,0.0,12,0.0
colony_life_support,0.9,safe_p,first_round,0.0,2,1.0
colony_life_support,0.9,safe_p,later_rounds,0.375,8,0.625
colony_life_support,0.9,safe_q,first_round,0.0,2,0.0
colony_life_support,0.9,safe_q,later_rounds,0.0,12,0.0
crystal_guild_contract,0.1,safe_p,first_round,0.0,2,1.0
crystal_guild_contract,0.1,safe_p,later_rounds,0.625,8,0.375
crystal_guild_contract,0.1,safe_q,first_round,0.0,2,0.0
crystal_guild_contract,0.1,safe_q,later_rounds,0.0,12,0.0
crystal_guild_contract,0.6,safe_p,first_round,0.0,2,1.0
crystal_guild_contract,0.6,safe_p,later_rounds,0.625,8,0.375
crystal_guild_contract,0.6,safe_q,first_round,0.0,2,0.0
crystal_guild_contract,0.6,safe_q,later_rounds,0.0,12,0.0
crystal_guild_contract,0.9,safe_p,first_round,0.0,2,1.0
crystal_guild_contract,0.9,safe_p,later_rounds,0.625,8,0.375
crystal_guild_contract,0.9,safe_q,first_round,0.0,2,0.0
crystal_guild_contract,0.9,safe_q,later_rounds,0.0,12,0.0
fictional_cartography,0.1,safe_p,first_round,0.0,2,1.0
fictional_cartography,0.1,safe_p,later_rounds,0.5,8,0.5
fictional_cartography,0.1,safe_q,first_round,0.0,2,0.0
