estimand,context,reference,n_paired_rows,safe_to_unsafe,unsafe_to_safe,stable
live_first_round,technology_race,abstract_contest,12,0,0,12
live_first_round,logistics_contract,abstract_contest,12,0,0,12
live_first_round,crystal_guild_contract,abstract_contest,12,0,0,12
live_first_round,hospital_deployment,abstract_contest,12,0,0,12
live_first_round,colony_life_support,abstract_contest,12,0,0,12
live_first_round,robotic_expedition,abstract_contest,12,0,0,12
live_first_round,fictional_cartography,abstract_contest,12,0,0,12
fixed_state_direct,technology_race,abstract_contest,12,1,0,11
fixed_state_direct,logistics_contract,abstract_contest,12,3,0,9
fixed_state_direct,crystal_guild_contract,abstract_contest,12,3,0,9
fixed_state_direct,hospital_deployment,abstract_contest,12,1,0,11
fixed_state_direct,colony_life_support,abstract_contest,12,1,0,11
fixed_state_direct,robotic_expedition,abstract_contest,12,1,0,11
fixed_state_direct,fictional_cartography,abstract_contest,12,3,0,9
