model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,parameter_point,beta,mu,nominal_mu,mutation_regime,Z,n_players,observed_median_phi_U,observed_mean_phi_U,predicted_phi_U,difference
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,1.0,1.0,0.9999999999999993,6.661338147750939e-16
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,1.0,1.0,0.9999999999997917,2.0827783941967937e-13
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.7032967032967032,0.7000595931845932,0.9999999999999992,-0.296703296703296
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.7032967032967032,0.7000595931845932,0.9306236497959823,-0.2273269464992791
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.6076923076923078,0.5992522061272061,0.009708735903001047,0.5979835717893067
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.6076923076923078,0.5992522061272061,0.06392921881137294,0.5437630888809348
