model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_rounds,n_races
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,5.0,2
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,7.0,1
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,8.0,1
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,9.0,2
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,10.0,1
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,11.0,1
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,13.0,1
google-gemini-3-flash-preview,0.1,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,16.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,5.0,2
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,7.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,8.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,9.0,2
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,10.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,11.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,13.0,1
google-gemini-3-flash-preview,0.6,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,16.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,5.0,2
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,7.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,8.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,9.0,2
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,10.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,11.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,13.0,1
google-gemini-3-flash-preview,0.9,none,ai-race-fairgame-v3,1fe3e64df79373ccf36c2901259b88ae322b0e94e8bfb8621ba3d263a81ac794,confirmatory,completed,16.0,1
