n_crn_repetition_streams,true_interaction,power_holm_single_step,monte_carlo_se,simulations,familywise_alpha,holm_family_size,screening_alpha
16,0.05,0.0129,0.0011284320980900887,10000,0.05,7,0.0071428571428571435
16,0.1,0.0375,0.001899835519196333,10000,0.05,7,0.0071428571428571435
16,0.15,0.1065,0.003084764982944406,10000,0.05,7,0.0071428571428571435
16,0.2,0.2265,0.004185663029915332,10000,0.05,7,0.0071428571428571435
32,0.05,0.0242,0.0015366964566888284,10000,0.05,7,0.0071428571428571435
32,0.1,0.1101,0.0031301436069292414,10000,0.05,7,0.0071428571428571435
32,0.15,0.3051,0.004604497692474175,10000,0.05,7,0.0071428571428571435
32,0.2,0.695,0.004604074282632721,10000,0.05,7,0.0071428571428571435
64,0.05,0.054,0.002260176984220484,10000,0.05,7,0.0071428571428571435
64,0.1,0.3463,0.0047579019535925705,10000,0.05,7,0.0071428571428571435
64,0.15,0.7533,0.00431090605325609,10000,0.05,7,0.0071428571428571435
64,0.2,0.9727,0.0016295615974856548,10000,0.05,7,0.0071428571428571435
96,0.05,0.09,0.002861817604250837,10000,0.05,7,0.0071428571428571435
96,0.1,0.5421,0.004982244373773731,10000,0.05,7,0.0071428571428571435
96,0.15,0.9368,0.0024332233765110844,10000,0.05,7,0.0071428571428571435
96,0.2,0.999,0.0003160696125855823,10000,0.05,7,0.0071428571428571435
128,0.05,0.1347,0.0034140285587557695,10000,0.05,7,0.0071428571428571435
128,0.1,0.7313,0.004432835548494891,10000,0.05,7,0.0071428571428571435
128,0.15,0.9896,0.0010144870625099151,10000,0.05,7,0.0071428571428571435
128,0.2,1.0,0.0,10000,0.05,7,0.0071428571428571435
160,0.05,0.1915,0.003934815751722055,10000,0.05,7,0.0071428571428571435
160,0.1,0.8484,0.0035863273693292415,10000,0.05,7,0.0071428571428571435
160,0.15,0.9987,0.00036032069049666963,10000,0.05,7,0.0071428571428571435
160,0.2,1.0,0.0,10000,0.05,7,0.0071428571428571435
192,0.05,0.2456,0.0043044237709593605,10000,0.05,7,0.0071428571428571435
192,0.1,0.9121,0.0028314941285476824,10000,0.05,7,0.0071428571428571435
192,0.15,0.9999,9.999499987498824e-05,10000,0.05,7,0.0071428571428571435
192,0.2,1.0,0.0,10000,0.05,7,0.0071428571428571435
