condition,domain,n,strict_format_rate,semantic_parse_rate,strict_accuracy,semantic_accuracy,format_only_correct
calculator,ALL,205,0.6097560975609756,1.0,0.4634146341463415,0.7560975609756098,60
calculator,expected_payoff,20,1.0,1.0,0.5,0.5,0
calculator,rule_recall,50,0.5,1.0,0.5,1.0,25
calculator,stage_payoff,20,1.0,1.0,1.0,1.0,0
calculator,state_reconstruction,45,0.4444444444444444,1.0,0.2222222222222222,0.5555555555555556,15
calculator,state_transition,30,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,10
calculator,terminal_scoring,40,0.5,1.0,0.5,0.75,10
direct,ALL,170,0.35294117647058826,1.0,0.20588235294117646,0.4411764705882353,40
direct,expected_payoff,20,1.0,1.0,0.0,0.0,0
direct,rule_recall,30,0.16666666666666666,1.0,0.16666666666666666,1.0,25
direct,stage_payoff,20,0.75,1.0,0.75,1.0,5
direct,state_reconstruction,45,0.1111111111111111,1.0,0.1111111111111111,0.3333333333333333,10
direct,state_transition,30,0.0,1.0,0.0,0.0,0
direct,terminal_scoring,25,0.6,1.0,0.4,0.4,0
direct_forward,ALL,35,0.0,1.0,0.0,0.8571428571428571,30
direct_forward,rule_recall,20,0.0,1.0,0.0,1.0,20
direct_forward,terminal_scoring,15,0.0,1.0,0.0,0.6666666666666666,10
direct_reverse,ALL,35,0.0,1.0,0.0,0.8571428571428571,30
direct_reverse,rule_recall,20,0.0,1.0,0.0,1.0,20
direct_reverse,terminal_scoring,15,0.0,1.0,0.0,0.6666666666666666,10
paraphrase,ALL,170,0.20588235294117646,1.0,0.08823529411764706,0.35294117647058826,45
paraphrase,expected_payoff,20,0.0,1.0,0.0,0.0,0
paraphrase,rule_recall,30,0.0,1.0,0.0,1.0,30
paraphrase,stage_payoff,20,0.75,1.0,0.75,1.0,5
paraphrase,state_reconstruction,45,0.2222222222222222,1.0,0.0,0.2222222222222222,10
paraphrase,state_transition,30,0.0,1.0,0.0,0.0,0
paraphrase,terminal_scoring,25,0.4,1.0,0.0,0.0,0
paraphrase_forward,ALL,35,0.0,1.0,0.0,0.8571428571428571,30
paraphrase_forward,rule_recall,20,0.0,1.0,0.0,1.0,20
paraphrase_forward,terminal_scoring,15,0.0,1.0,0.0,0.6666666666666666,10
paraphrase_reverse,ALL,35,0.0,1.0,0.0,0.7142857142857143,25
paraphrase_reverse,rule_recall,20,0.0,1.0,0.0,0.75,15
paraphrase_reverse,terminal_scoring,15,0.0,1.0,0.0,0.6666666666666666,10
