item_id,domain,threat,left_condition,right_condition,n_repetitions,n_semantically_comparable,answer_flip_rate,correctness_flip_rate
rule_simultaneous,rule_recall,order,direct_forward,direct_reverse,5,5,0.0,0.0
rule_simultaneous,rule_recall,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
rule_hidden_horizon,rule_recall,order,direct_forward,direct_reverse,5,5,0.0,0.0
rule_hidden_horizon,rule_recall,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
rule_min_rounds,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_stop_probability,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_safe_progress,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_unsafe_progress,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_winner_prize,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_tie_prize,rule_recall,paraphrase,direct,paraphrase,5,5,0.0,0.0
rule_loser_setback,rule_recall,order,direct_forward,direct_reverse,5,5,0.0,0.0
rule_loser_setback,rule_recall,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
rule_setback_scope,rule_recall,order,direct_forward,direct_reverse,5,5,0.0,0.0
rule_setback_scope,rule_recall,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
payoff_ss,stage_payoff,paraphrase,direct,paraphrase,5,5,0.0,0.0
payoff_su,stage_payoff,paraphrase,direct,paraphrase,5,5,0.0,0.0
payoff_us,stage_payoff,paraphrase,direct,paraphrase,5,5,0.0,0.0
payoff_uu,stage_payoff,paraphrase,direct,paraphrase,5,5,0.0,0.0
state_own_progress,state_reconstruction,paraphrase,direct,paraphrase,5,5,0.0,0.0
state_opp_progress,state_reconstruction,paraphrase,direct,paraphrase,5,5,1.0,0.0
state_own_payoff,state_reconstruction,paraphrase,direct,paraphrase,5,5,1.0,0.0
state_opp_payoff,state_reconstruction,paraphrase,direct,paraphrase,5,5,1.0,0.0
state_own_unsafe_count,state_reconstruction,paraphrase,direct,paraphrase,5,5,0.0,0.0
state_opp_unsafe_count,state_reconstruction,paraphrase,direct,paraphrase,5,5,0.0,0.0
state_own_risk,state_reconstruction,paraphrase,direct,paraphrase,5,5,1.0,1.0
state_opp_risk,state_reconstruction,paraphrase,direct,paraphrase,5,5,0.0,0.0
state_gap,state_reconstruction,paraphrase,direct,paraphrase,5,5,1.0,0.0
transition_own_progress,state_transition,paraphrase,direct,paraphrase,5,5,0.0,0.0
transition_opp_progress,state_transition,paraphrase,direct,paraphrase,5,5,0.0,0.0
transition_own_payoff,state_transition,paraphrase,direct,paraphrase,5,5,0.0,0.0
transition_opp_payoff,state_transition,paraphrase,direct,paraphrase,5,5,0.0,0.0
transition_own_risk,state_transition,paraphrase,direct,paraphrase,5,5,0.0,0.0
transition_opp_risk,state_transition,paraphrase,direct,paraphrase,5,5,1.0,0.0
terminal_own_outcome,terminal_scoring,order,direct_forward,direct_reverse,5,5,0.0,0.0
terminal_own_outcome,terminal_scoring,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
terminal_opp_setback,terminal_scoring,order,direct_forward,direct_reverse,5,5,0.0,0.0
terminal_opp_setback,terminal_scoring,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
terminal_own_risk,terminal_scoring,paraphrase,direct,paraphrase,5,5,0.0,0.0
terminal_own_final,terminal_scoring,paraphrase,direct,paraphrase,5,5,1.0,0.0
terminal_opp_final,terminal_scoring,paraphrase,direct,paraphrase,5,5,1.0,1.0
terminal_winner_setback,terminal_scoring,paraphrase,direct,paraphrase,5,5,1.0,1.0
terminal_tie_safe,terminal_scoring,paraphrase,direct,paraphrase,5,5,0.0,0.0
terminal_draw_boundary,terminal_scoring,order,direct_forward,direct_reverse,5,5,0.0,0.0
terminal_draw_boundary,terminal_scoring,paraphrase,direct_forward,paraphrase_forward,5,5,0.0,0.0
expected_as_as,expected_payoff,paraphrase,direct,paraphrase,5,5,1.0,0.0
expected_as_au,expected_payoff,paraphrase,direct,paraphrase,5,5,0.0,0.0
expected_au_as,expected_payoff,paraphrase,direct,paraphrase,5,5,1.0,0.0
expected_au_au,expected_payoff,paraphrase,direct,paraphrase,5,5,1.0,0.0
