max_private_risk,payoff_scale,comparisons,non_payoff_mismatches,max_normalized_prize_error,max_normalized_final_payoff_error,admitted
0.1,0.1,87376,0,0.0,1.4210854715202004e-14,True
0.1,1.0,87376,0,0.0,0.0,True
0.1,10.0,87376,0,0.0,8.881784197001252e-16,True
0.1,100.0,87376,0,0.0,8.881784197001252e-16,True
0.6,0.1,87376,0,0.0,1.4210854715202004e-14,True
0.6,1.0,87376,0,0.0,0.0,True
0.6,10.0,87376,0,0.0,8.881784197001252e-16,True
0.6,100.0,87376,0,0.0,8.881784197001252e-16,True
0.9,0.1,87376,0,0.0,1.4210854715202004e-14,True
0.9,1.0,87376,0,0.0,0.0,True
0.9,10.0,87376,0,0.0,8.881784197001252e-16,True
0.9,100.0,87376,0,0.0,8.881784197001252e-16,True
