regime,regime_label,beta,mutation,max_private_risk,chain,seed,samples,unsafe_frequency,moves,frequency_AS,frequency_AU,frequency_CS,frequency_CAS
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,0,260726,4000,0.9920898033852327,44821,0.006235000000000132,0.9204324999999884,0.006830000000000139,0.06650250000000008
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,1,260727,4000,0.9917291309668193,43412,0.006697500000000138,0.9242149999999891,0.0064000000000001295,0.0626875000000005
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,2,260728,4000,0.9921013971231536,42973,0.006292500000000118,0.9249449999999853,0.0066950000000001435,0.06206750000000047
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,3,260729,4000,0.9917171600297485,42100,0.006625000000000129,0.9260349999999914,0.006912500000000165,0.060427500000000384
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,0,261726,4000,0.9801783030578494,26558,0.006585000000000136,0.020967500000000257,0.007820000000000195,0.96462749999997
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,1,261727,4000,0.9798471942916702,26935,0.0065350000000001275,0.021340000000000314,0.008262500000000188,0.9638624999999735
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,2,261728,4000,0.9801738120186492,27123,0.006497500000000139,0.020347500000000285,0.007982500000000212,0.9651724999999713
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,3,261729,4000,0.979574643562772,27010,0.006877500000000146,0.020595000000000193,0.007890000000000197,0.964637499999974
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,0,262726,4000,0.01878598725925211,36544,0.0431225000000002,0.006717500000000164,0.9433649999999836,0.0067950000000001525
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,1,262727,4000,0.017848432387453816,37445,0.047247500000000595,0.00619500000000012,0.9397249999999846,0.006832500000000158
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,2,262728,4000,0.0190458800990382,37587,0.0439925000000003,0.006787500000000155,0.9422699999999834,0.006950000000000173
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,3,262729,4000,0.01877535825270546,36239,0.04485250000000042,0.006760000000000153,0.9416724999999848,0.0067150000000001445
