route,route_label,mutation_rule,beta,mutation,rmse_percentage_points,max_absolute_deviation_percentage_points,profile_mixing_suspect,well_mixed,theory_r0p1,theory_r0p6,theory_r0p9,observed_r0p1,observed_r0p6,observed_r0p9,is_reference,is_weak_selection_candidate
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.001,1e-05,34.06473514867435,49.991230543663505,True,False,0.8110517077332169,0.25001616737181975,0.49991230543663506,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.003,3e-05,14.489536731450706,25.096423619943593,True,False,0.9990651912612504,0.2509642361994359,0.0002840582219678214,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.01,0.0001,57.687538767809066,99.9068594886769,True,False,0.9997499150246996,0.999068594886769,0.014748521780981919,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.03,0.0003,57.56727751408211,99.63357921023555,True,False,0.9995515719901333,0.9963357921023555,0.03888727816516211,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.1,0.001,57.49576771182517,99.58497812107822,False,True,0.9991789736281751,0.9958497812107822,0.0033956751583790684,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,0.3,0.003,57.39853111660681,99.41589983413701,False,True,0.9983575323806984,0.9941589983413701,0.004754010962049355,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,1.0,0.01,57.041236209178095,98.79274820343542,False,True,0.9955271863143178,0.9879274820343542,0.009490661745564094,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,2.0,0.02,56.58575488026384,97.98804194272634,False,True,0.9917087217738774,0.9798804194272634,0.01870601345071246,1.0,0.0,0.0,True,False
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,3.0,0.03,56.099171493505786,97.11717254057571,False,True,0.9877162693610754,0.9711717254057571,0.02845527036115639,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,beta_over_Z,10.0,0.1,52.67621789946475,90.66372266945443,False,True,0.9570690964496065,0.9066372266945443,0.09274188023508938,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.001,0.05,47.166403410890055,51.56764569301699,False,True,0.5837722613438698,0.51567645693017,0.47773752684585835,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.003,0.05,43.81611360688481,54.157086507493844,False,True,0.7003280368207395,0.5415708650749385,0.4391506075023712,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.01,0.05,43.56025406232582,63.94079934034891,False,True,0.8733404856015274,0.6394079934034891,0.37995197798719077,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.03,0.05,45.95315490796348,75.56381024283561,False,True,0.9482312529627954,0.7556381024283562,0.24461968192943376,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.1,0.05,50.88244565611449,87.35580582858972,False,True,0.9683871672390215,0.8735580582858973,0.11226722759929836,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,0.3,0.05,53.43676538517014,92.32431922047843,False,True,0.9735656322026425,0.9232431922047843,0.059746135402959206,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,1.0,0.05,54.74110561640689,94.6773285417238,False,True,0.9776305594260521,0.9467732854172379,0.045788070287381986,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,2.0,0.05,54.97839454016427,95.0897280269928,False,True,0.9787361449532488,0.950897280269928,0.04614510491909242,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,3.0,0.05,55.05293488877312,95.21875899982307,False,True,0.9793081593883245,0.9521875899982306,0.046457864196606566,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,fixed_0p05,10.0,0.05,55.092762561990014,95.2848754917092,False,True,0.9800860370240851,0.952848754917092,0.047396522499904246,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.001,0.01,44.79781507990204,59.94207046657277,True,False,0.7435678508544195,0.5994207046657277,0.4207025582077564,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.003,0.01,42.687842234215545,64.95254133360235,True,False,0.905294154107066,0.6495254133360235,0.3403279338643164,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.01,0.01,46.12970780303653,77.62983894291135,False,True,0.9715888267721492,0.7762983894291134,0.18691869463389796,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.03,0.01,51.75650266630337,89.3222226272556,False,True,0.9889209483458186,0.893222226272556,0.07517964871734258,1.0,0.0,0.0,False,True
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.1,0.01,55.60446548458049,96.2708338376767,False,True,0.9938726135079509,0.9627083383767671,0.026684919006662415,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,0.3,0.01,56.63671377998142,98.08693568280829,False,True,0.9946564958987041,0.9808693568280829,0.013489111840433218,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,1.0,0.01,57.041236209178095,98.79274820343542,False,True,0.9955271863143178,0.9879274820343542,0.009490661745564094,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,2.0,0.01,57.1560360321446,98.9917707224488,False,True,0.9959021575389506,0.989917707224488,0.009480352468167632,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,3.0,0.01,57.194242294522766,99.05788946930309,False,True,0.9957700022234901,0.990578894693031,0.009485040902237934,1.0,0.0,0.0,False,False
anthropic/claude-opus-5@default,Claude Opus 5,one_over_Z,10.0,0.01,57.19954408662487,99.06704476305322,False,True,0.9962315469864395,0.9906704476305322,0.009706496212730637,1.0,0.0,0.0,False,False
