route_context,route,mutation_rule,beta,mutation,rmse_percentage_points,max_absolute_deviation_percentage_points,max_between_chain_range_percentage_points,theory_unsafe_r0p1,route_unsafe_r0p1,deviation_r0p1_percentage_points,theory_unsafe_r0p6,route_unsafe_r0p6,deviation_r0p6_percentage_points,theory_unsafe_r0p9,route_unsafe_r0p9,deviation_r0p9_percentage_points,shape_low_risk_near_total,shape_monotone_decline,shape_medium_is_middling,shape_high_is_low_but_nonzero,shape_matches_llm_pattern,profile_mixing_suspect,shape_matches_llm_pattern_well_mixed,is_best_fit_for_route,is_best_fit_for_route_well_mixed
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.001,0.01,11.961682823990515,14.890526742515043,15.063307484681909,0.7435678508544195,0.8924731182795699,-14.890526742515043,0.5994207046657277,0.46236559139784944,13.705511326787828,0.4207025582077564,0.3763440860215054,4.4358472186251054,False,True,True,True,False,True,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.003,0.01,11.028801857534775,18.71598219381741,10.257826136660142,0.905294154107066,0.8924731182795699,1.2821035827496163,0.6495254133360235,0.46236559139784944,18.71598219381741,0.3403279338643164,0.3763440860215054,-3.601615215718895,True,True,True,True,True,True,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.01,0.01,21.65602886899084,31.3932798031264,4.431813921036179,0.9715888267721492,0.8924731182795699,7.911570849257932,0.7762983894291134,0.46236559139784944,31.3932798031264,0.18691869463389796,0.3763440860215054,-18.942539138760743,True,True,True,True,True,False,True,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.03,0.01,30.856638509769507,43.085663487470654,4.986864964976101,0.9889209483458186,0.8924731182795699,9.644783006624868,0.893222226272556,0.46236559139784944,43.085663487470654,0.07517964871734258,0.3763440860215054,-30.116443730416282,True,True,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.1,0.01,35.725166440689655,50.03427469789177,0.650037856966142,0.9938726135079509,0.8924731182795699,10.139949522838098,0.9627083383767671,0.46236559139784944,50.03427469789177,0.026684919006662415,0.3763440860215054,-34.965916701484296,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,0.3,0.01,37.01131942685155,51.85037654302334,0.17973132661230873,0.9946564958987041,0.8924731182795699,10.218337761913421,0.9808693568280829,0.46236559139784944,51.85037654302334,0.013489111840433218,0.3763440860215054,-36.28549741810721,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,1.0,0.01,37.479633435192135,52.55618906365047,0.09802790040615017,0.9955271863143178,0.8924731182795699,10.305406803474792,0.9879274820343542,0.46236559139784944,52.55618906365047,0.009490661745564094,0.3763440860215054,-36.68534242759412,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,2.0,0.01,37.5764908806901,52.755211582663854,0.08032103287365609,0.9959021575389506,0.8924731182795699,10.342903925938074,0.989917707224488,0.46236559139784944,52.755211582663854,0.009480352468167632,0.3763440860215054,-36.68637335533377,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,3.0,0.01,37.60607659214806,52.82133032951815,0.06406337952917854,0.9957700022234901,0.8924731182795699,10.329688394392022,0.990578894693031,0.46236559139784944,52.82133032951815,0.009485040902237934,0.3763440860215054,-36.68590451192674,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,one_over_Z,10.0,0.01,37.60739975534698,52.83048562326829,0.07549971822700899,0.9962315469864395,0.8924731182795699,10.375842870686958,0.9906704476305322,0.46236559139784944,52.83048562326829,0.009706496212730637,0.3763440860215054,-36.663758980877475,True,False,False,False,False,False,False,False,False
claude,anthropic/claude-sonnet-5@default,beta_over_Z,0.001,1e-05,14.94331833172382,21.234942402602968,99.99974328550353,0.8110517077332169,0.8924731182795699,-8.1421410546353,0.25001616737181975,0.46236559139784944,-21.234942402602968,0.49991230543663506,0.3763440860215054,12.356821941512969,False,False,True,True,False,True,False,False,False
claude,anthropic/claude-sonnet-5@default,beta_over_Z,0.003,3e-05,25.65628886588021,37.606002779953755,99.98996426804865,0.9990651912612504,0.8924731182795699,10.659207298168049,0.2509642361994359,0.46236559139784944,-21.14013551984135,0.0002840582219678214,0.3763440860215054,-37.606002779953755,True,True,True,False,False,True,False,False,False
claude,anthropic/claude-sonnet-5@default,beta_over_Z,0.01,0.0001,37.873023695516466,53.670300348891956,5.5530156264738,0.9997499150246996,0.8924731182795699,10.727679674512968,0.999068594886769,0.46236559139784944,53.670300348891956,0.014748521780981919,0.3763440860215054,-36.15955642405235,True,False,False,False,False,True,False,False,False
claude,anthropic/claude-sonnet-5@default,beta_over_Z,0.03,0.0003,36.989506064019864,53.397020070450594,14.470769280455306,0.9995515719901333,0.8924731182795699,10.707845371056345,0.9963357921023555,0.46236559139784944,53.397020070450594,0.03888727816516211,0.3763440860215054,-33.74568078563433,True,False,False,False,False,True,False,False,False
claude,anthropic/claude-sonnet-5@default,beta_over_Z,0.1,0.001,38.082456044368165,53.34841898129328,0.9478144898826701,0.9991789736281751,0.8924731182795699,10.670585534860521,0.9958497812107822,0.46236559139784944,53.34841898129328,0.0033956751583790684,0.3763440860215054,-37.29484108631263,True,False,False,False,False,False,False,False,False
