context,max_private_risk,player_trajectories,decisions,unsafe_rate_decision_weighted,mean_minimum_mismatch_rate,unique_classification_rate,fractional_nearest_AS,fractional_nearest_AU,fractional_nearest_CS,fractional_nearest_CAS
abstract_contest,0.1,64,570,0.07017543859649122,0.04770220588235294,0.171875,0.5234375,0.015625,0.4609375,0.0
abstract_contest,0.6,64,570,0.06842105263157895,0.04954044117647059,0.171875,0.515625,0.0234375,0.4609375,0.0
abstract_contest,0.9,64,570,0.07719298245614035,0.05459558823529412,0.15625,0.4895833333333333,0.028645833333333332,0.4817708333333333,0.0
colony_life_support,0.1,64,570,0.21403508771929824,0.14476915292632206,0.34375,0.4270833333333333,0.20052083333333334,0.37239583333333337,0.0
colony_life_support,0.6,64,570,0.19824561403508772,0.14546893568033273,0.359375,0.4427083333333333,0.14583333333333331,0.4114583333333333,0.0
colony_life_support,0.9,64,570,0.19824561403508772,0.12954406194295898,0.375,0.4427083333333333,0.14583333333333331,0.4114583333333333,0.0
crystal_guild_contract,0.1,64,570,0.2736842105263158,0.1144860832590612,0.453125,0.31770833333333337,0.22395833333333331,0.4583333333333333,0.0
crystal_guild_contract,0.6,64,570,0.2771929824561403,0.1324938261289364,0.40625,0.328125,0.234375,0.4375,0.0
crystal_guild_contract,0.9,64,570,0.2736842105263158,0.1406853461081402,0.40625,0.3567708333333333,0.20833333333333331,0.4348958333333333,0.0
fictional_cartography,0.1,64,570,0.256140350877193,0.1307577150178253,0.390625,0.296875,0.1953125,0.5078125,0.0
fictional_cartography,0.6,64,570,0.256140350877193,0.13316018642305408,0.34375,0.296875,0.1953125,0.5078125,0.0
fictional_cartography,0.9,64,570,0.256140350877193,0.1364153947563874,0.3125,0.32552083333333337,0.19270833333333334,0.48177083333333337,0.0
hospital_deployment,0.1,64,570,0.21578947368421053,0.13411179812834223,0.359375,0.3828125,0.140625,0.4765625,0.0
hospital_deployment,0.6,64,570,0.18596491228070175,0.1280957553475936,0.359375,0.4296875,0.078125,0.4921875,0.0
hospital_deployment,0.9,64,570,0.19649122807017544,0.1319381777332145,0.34375,0.4505208333333333,0.11458333333333333,0.4348958333333333,0.0
logistics_contract,0.1,64,570,0.3017543859649123,0.1257153334818776,0.421875,0.2578125,0.3203125,0.421875,0.0
logistics_contract,0.6,64,570,0.2807017543859649,0.13122841466131907,0.421875,0.3046875,0.25,0.4453125,0.0
logistics_contract,0.9,64,570,0.2824561403508772,0.14538096962269756,0.40625,0.3333333333333333,0.23177083333333331,0.4348958333333333,0.0
robotic_expedition,0.1,64,570,0.20175438596491227,0.13402568887403446,0.375,0.4140625,0.140625,0.4453125,0.0
robotic_expedition,0.6,64,570,0.2,0.1493981636215092,0.359375,0.4609375,0.15625,0.3828125,0.0
robotic_expedition,0.9,64,570,0.20701754385964913,0.14297455251039812,0.375,0.44270833333333337,0.16927083333333331,0.38802083333333337,0.0
technology_race,0.1,64,570,0.04736842105263158,0.046231617647058826,0.15625,0.53125,0.0,0.46875,0.0
technology_race,0.6,64,570,0.08070175438596491,0.0595077614379085,0.203125,0.515625,0.0234375,0.4609375,0.0
technology_race,0.9,64,570,0.09473684210526316,0.06803048871063577,0.234375,0.53125,0.0390625,0.4296875,0.0
