context,max_private_risk,player_trajectories,decisions,unsafe_rate_decision_weighted,mean_minimum_mismatch_rate,unique_classification_rate,fractional_nearest_AS,fractional_nearest_AU,fractional_nearest_CS,fractional_nearest_CAS
abstract_contest,0.1,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
abstract_contest,0.6,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
abstract_contest,0.9,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
colony_life_support,0.1,64,570,0.18421052631578946,0.17647290923945336,0.375,0.578125,0.015625,0.40625,0.0
colony_life_support,0.6,64,570,0.20175438596491227,0.14543296011586454,0.359375,0.46875,0.1171875,0.4140625,0.0
colony_life_support,0.9,64,570,0.21403508771929824,0.11800240456030897,0.40625,0.3046875,0.1328125,0.5625,0.0
crystal_guild_contract,0.1,64,570,0.2771929824561403,0.10087014445929887,0.390625,0.25,0.1953125,0.5546875,0.0
crystal_guild_contract,0.6,64,570,0.2771929824561403,0.10087014445929887,0.390625,0.25,0.1953125,0.5546875,0.0
crystal_guild_contract,0.9,64,570,0.2754385964912281,0.10270837975341651,0.390625,0.25,0.1953125,0.5546875,0.0
fictional_cartography,0.1,64,570,0.22631578947368422,0.12826101084373143,0.34375,0.2734375,0.0703125,0.65625,0.0
fictional_cartography,0.6,64,570,0.22456140350877193,0.1154058972073678,0.359375,0.2734375,0.09375,0.6328125,0.0
fictional_cartography,0.9,64,570,0.21578947368421053,0.16344372029114676,0.3125,0.38541666666666663,0.026041666666666664,0.5885416666666666,0.0
hospital_deployment,0.1,64,570,0.22105263157894736,0.1154058972073678,0.359375,0.2734375,0.09375,0.6328125,0.0
hospital_deployment,0.6,64,570,0.22105263157894736,0.1154058972073678,0.359375,0.2734375,0.09375,0.6328125,0.0
hospital_deployment,0.9,64,570,0.21052631578947367,0.12933818887403448,0.34375,0.3203125,0.1328125,0.546875,0.0
logistics_contract,0.1,64,570,0.3333333333333333,0.06654272504456328,0.5,0.25,0.25,0.5,0.0
logistics_contract,0.6,64,570,0.2736842105263158,0.11037883429887105,0.375,0.2578125,0.1953125,0.546875,0.0
logistics_contract,0.9,64,570,0.3298245614035088,0.13871318887403447,0.203125,0.26041666666666663,0.34635416666666663,0.39322916666666663,0.0
robotic_expedition,0.1,64,570,0.12631578947368421,0.12940897950089125,0.40625,0.703125,0.0,0.296875,0.0
robotic_expedition,0.6,64,570,0.13333333333333333,0.131664995543672,0.40625,0.6875,0.015625,0.296875,0.0
robotic_expedition,0.9,64,570,0.13157894736842105,0.131664995543672,0.40625,0.703125,0.0,0.296875,0.0
technology_race,0.1,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
technology_race,0.6,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
technology_race,0.9,64,570,0.0,0.0,0.0,0.5,0.0,0.5,0.0
