lam,epsilon,Z,beta,r,ALLC,ALLD,TFT,WSLS,max_float64_mpmath_diff,n_absorbing_float64,solver
0.01,0.0,100,0.1,10,0.23145621879512807,0.26278748936007906,0.25920843346287625,0.24654785838191662,1.0602629885170245e-14,0,mpmath_dps200_tree_theorem
0.1,0.0,100,0.1,10,0.12587558731698548,0.3188707570326273,0.33857498030468874,0.2166786753456985,6.161737786669619e-15,0,mpmath_dps200_tree_theorem
0.25,0.0,100,0.1,10,0.07814958333208516,0.31539525213500963,0.41393595719104437,0.19251920734186084,2.345346139520643e-15,0,mpmath_dps200_tree_theorem
0.5,0.0,100,0.1,10,0.051211582057030025,0.30377094811305233,0.4585175517882872,0.18649991804163046,6.328538036670661e-08,0,mpmath_dps200_tree_theorem
1.0,0.0,100,0.1,10,0.03195220349291233,0.2831520833811993,0.48037809415456517,0.20451761897132323,1.5702822381280512e-07,0,mpmath_dps200_tree_theorem
2.0,0.0,100,0.1,10,0.019373943101357094,0.2728383805869293,0.4772760064968617,0.23051166981485194,3.4571118531778744e-07,0,mpmath_dps200_tree_theorem
5.0,0.0,100,0.1,10,0.009621362712383062,0.3471074709925613,0.42583385723201017,0.21743730906304548,5.10702591327572e-15,0,mpmath_dps200_tree_theorem
10.0,0.0,100,0.1,10,0.004823600053517484,0.5632116675327012,0.28636872123705726,0.14559601117672402,1.7413389408194035e-07,0,mpmath_dps200_tree_theorem
100.0,0.0,100,0.1,10,1.4535065046106568e-11,0.9999999985028883,9.83539400563004e-10,4.990372328045553e-10,1.4971116568673892e-09,1,mpmath_dps200_tree_theorem
1000.0,0.0,100,0.1,10,3.8271106860679957e-103,1.0,2.5896782309060107e-101,1.3139746688833453e-101,2.5896782309060107e-101,1,mpmath_dps200_tree_theorem
0.01,0.05,100,0.1,10,0.22814663428236465,0.267268357742722,0.2511252025216507,0.25345980545326263,2.942091015256665e-15,0,mpmath_dps200_tree_theorem
0.1,0.05,100,0.1,10,0.09986410775683727,0.3815258038313269,0.2601250215592181,0.25848506685261774,5.329070518200751e-15,0,mpmath_dps200_tree_theorem
0.25,0.05,100,0.1,10,0.04883349069781786,0.44601991765411075,0.25801225924836724,0.24713433239970414,4.246603069191224e-15,0,mpmath_dps200_tree_theorem
0.5,0.05,100,0.1,10,0.03217011333337605,0.5068994334401846,0.2235913989231069,0.2373390543033324,1.0380585280245214e-14,0,mpmath_dps200_tree_theorem
