layer,control,iteration,n_probe_features,feature_screen,solver,alpha,tolerance,convergence_warning_count,roc_auc,average_precision,balanced_accuracy
20,shuffled_train_labels,0,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5409432870370371,0.6424810535025254,0.5486111111111112
20,shuffled_train_labels,1,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.48162615740740744,0.6035740463139712,0.5
20,shuffled_train_labels,2,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5007233796296297,0.6075823400704626,0.5416666666666666
20,shuffled_train_labels,3,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.39337384259259256,0.5243394039278633,0.4618055555555556
20,shuffled_train_labels,4,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.46947337962962965,0.6087711996896085,0.46875
20,shuffled_train_labels,5,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.47960069444444453,0.6008941068280104,0.5034722222222222
20,shuffled_train_labels,6,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5467303240740741,0.6604627164912995,0.5694444444444444
20,shuffled_train_labels,7,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.42144097222222227,0.5805855557865658,0.4756944444444444
20,shuffled_train_labels,8,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4037905092592593,0.5568176801915834,0.4270833333333333
20,shuffled_train_labels,9,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.40089699074074076,0.5610756857592258,0.40625
20,shuffled_train_labels,10,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5166377314814814,0.6070084696048348,0.5208333333333333
20,shuffled_train_labels,11,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.486255787037037,0.6066212705280606,0.4965277777777778
20,shuffled_train_labels,12,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5354456018518519,0.6883571089409507,0.5416666666666667
20,shuffled_train_labels,13,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4136284722222222,0.5567519044690503,0.45486111111111116
20,shuffled_train_labels,14,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4616608796296296,0.5901880346468878,0.4826388888888889
20,shuffled_train_labels,15,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5206886574074073,0.6731971012771841,0.48611111111111105
20,shuffled_train_labels,16,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4526909722222222,0.5871562623382782,0.48263888888888884
20,shuffled_train_labels,17,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4489293981481482,0.5605511670845945,0.4930555555555556
20,shuffled_train_labels,18,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.48828124999999994,0.5988279890166244,0.45138888888888884
20,shuffled_train_labels,19,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5070891203703703,0.6587690659034942,0.5034722222222222
25,shuffled_train_labels,0,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5597511574074074,0.6809321988138606,0.5625
25,shuffled_train_labels,1,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4078414351851852,0.5381893785865915,0.44791666666666663
25,shuffled_train_labels,2,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5577256944444444,0.6984843007902589,0.5659722222222222
25,shuffled_train_labels,3,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5441261574074074,0.6499970502710017,0.5416666666666667
25,shuffled_train_labels,4,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5160590277777778,0.6683484226597496,0.4756944444444444
25,shuffled_train_labels,5,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5938946759259259,0.6600192195758786,0.5416666666666667
25,shuffled_train_labels,6,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.6786747685185185,0.7842528215294193,0.6284722222222223
25,shuffled_train_labels,7,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.44921875000000006,0.5775915185486067,0.46875
25,shuffled_train_labels,8,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.47207754629629634,0.6136698151430257,0.4965277777777778
25,shuffled_train_labels,9,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5447048611111112,0.67416317940423,0.5138888888888888
25,shuffled_train_labels,10,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.423755787037037,0.5704905037432867,0.4375
25,shuffled_train_labels,11,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.36733217592592593,0.521566370246639,0.42708333333333337
25,shuffled_train_labels,12,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5079571759259259,0.6683221340580117,0.4930555555555556
25,shuffled_train_labels,13,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4211516203703704,0.6016319743795745,0.4027777777777778
25,shuffled_train_labels,14,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5765335648148148,0.6968097580957495,0.5451388888888888
25,shuffled_train_labels,15,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5374710648148148,0.6374395358293234,0.5277777777777778
25,shuffled_train_labels,16,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.544994212962963,0.6609562697939605,0.4965277777777778
25,shuffled_train_labels,17,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.40060763888888884,0.5516555670771321,0.3993055555555556
25,shuffled_train_labels,18,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.5745081018518519,0.670509028232104,0.5381944444444444
25,shuffled_train_labels,19,4096,train_only_variance,ridge_lsqr,1.0,0.0001,0,0.4605034722222222,0.6243666598854412,0.4861111111111111
