estimand,context,reference,risk,estimate_pp,ci_low_pp,ci_high_pp,n_paired_rows,n_clusters,safe_to_unsafe,unsafe_to_safe,stable
live_first_round,technology_race,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,technology_race,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,technology_race,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,technology_race,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,logistics_contract,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,logistics_contract,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,logistics_contract,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,logistics_contract,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,crystal_guild_contract,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,crystal_guild_contract,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,crystal_guild_contract,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,crystal_guild_contract,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,hospital_deployment,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,hospital_deployment,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,hospital_deployment,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,hospital_deployment,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,colony_life_support,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,colony_life_support,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,colony_life_support,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,colony_life_support,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,robotic_expedition,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,robotic_expedition,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,robotic_expedition,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,robotic_expedition,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_first_round,fictional_cartography,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_first_round,fictional_cartography,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_first_round,fictional_cartography,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_first_round,fictional_cartography,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_full_trajectory,technology_race,abstract_contest,all,0.0,0.0,0.0,192,32,0,0,192
live_full_trajectory,technology_race,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
live_full_trajectory,technology_race,abstract_contest,0.6,0.0,0.0,0.0,64,32,0,0,64
live_full_trajectory,technology_race,abstract_contest,0.9,0.0,0.0,0.0,64,32,0,0,64
live_full_trajectory,logistics_contract,abstract_contest,all,33.99657574519706,22.962870896464647,46.18263362794612,192,32,0,0,192
live_full_trajectory,logistics_contract,abstract_contest,0.1,36.48024361259655,24.79153901143791,49.87077113042186,64,32,0,0,64
live_full_trajectory,logistics_contract,abstract_contest,0.6,29.380802510398098,19.534978693181813,39.8990467635918,64,32,0,0,64
live_full_trajectory,logistics_contract,abstract_contest,0.9,36.12868111259655,24.567759395424837,49.322757097630706,64,32,0,0,64
live_full_trajectory,crystal_guild_contract,abstract_contest,all,29.584122474747478,19.089133522727273,39.87160669191919,192,32,0,0,192
live_full_trajectory,crystal_guild_contract,abstract_contest,0.1,29.614759729649435,19.34183633207071,39.75767904226083,64,32,0,0,64
live_full_trajectory,crystal_guild_contract,abstract_contest,0.6,29.614759729649435,19.34183633207071,39.75767904226083,64,32,0,0,64
live_full_trajectory,crystal_guild_contract,abstract_contest,0.9,29.522847964943555,19.34183633207071,39.592333026960766,64,32,0,0,64
live_full_trajectory,hospital_deployment,abstract_contest,all,22.284866124480097,14.378077651515152,30.34217461842689,192,32,0,0,192
live_full_trajectory,hospital_deployment,abstract_contest,0.1,22.749275846702318,14.63513814616756,31.252026236631004,64,32,0,0,64
live_full_trajectory,hospital_deployment,abstract_contest,0.6,22.749275846702318,14.63513814616756,31.252026236631004,64,32,0,0,64
live_full_trajectory,hospital_deployment,abstract_contest,0.9,21.35604668003565,13.609509037990195,29.574102119541003,64,32,0,0,64
live_full_trajectory,colony_life_support,abstract_contest,all,20.89250346603288,13.608523965141615,28.288421902852047,192,32,0,0,192
live_full_trajectory,colony_life_support,abstract_contest,0.1,19.79802621806298,12.922867229278076,26.640782828282823,64,32,0,0,64
live_full_trajectory,colony_life_support,abstract_contest,0.6,20.6655943627451,13.360619638480392,28.286132812499993,64,32,0,0,64
live_full_trajectory,colony_life_support,abstract_contest,0.9,22.213889817290553,14.5302821412656,30.19179095643939,64,32,0,0,64
live_full_trajectory,robotic_expedition,abstract_contest,all,13.121936274509805,8.333333333333334,18.060738357843135,192,32,0,0,192
live_full_trajectory,robotic_expedition,abstract_contest,0.1,12.940897950089129,8.332873774509803,17.9829684714795,64,32,0,0,64
live_full_trajectory,robotic_expedition,abstract_contest,0.6,13.258411319073083,8.48889399509804,18.496107676024952,64,32,0,0,64
live_full_trajectory,robotic_expedition,abstract_contest,0.9,13.166499554367201,8.4375,18.370216410427805,64,32,0,0,64
live_full_trajectory,fictional_cartography,abstract_contest,all,23.36298029312735,15.265940656565654,31.713151737967916,192,32,0,0,192
live_full_trajectory,fictional_cartography,abstract_contest,0.1,23.582609180035654,15.207978219696972,32.19406612076648,64,32,0,0,64
live_full_trajectory,fictional_cartography,abstract_contest,0.6,23.270109180035654,15.052083333333332,31.756705381016044,64,32,0,0,64
live_full_trajectory,fictional_cartography,abstract_contest,0.9,23.23622251931075,15.007055852644088,31.593313651218057,64,32,0,0,64
fixed_state_direct,technology_race,abstract_contest,all,3.125,1.0416666666666665,5.729166666666666,192,96,6,0,186
fixed_state_direct,technology_race,abstract_contest,0.1,0.0,0.0,0.0,64,32,0,0,64
fixed_state_direct,technology_race,abstract_contest,0.6,6.25,1.5625,12.5,64,32,4,0,60
fixed_state_direct,technology_race,abstract_contest,0.9,3.125,0.0,7.8125,64,32,2,0,62
fixed_state_direct,logistics_contract,abstract_contest,all,15.625,10.9375,20.3125,192,96,30,0,162
fixed_state_direct,logistics_contract,abstract_contest,0.1,18.75,10.9375,28.125,64,32,12,0,52
fixed_state_direct,logistics_contract,abstract_contest,0.6,17.1875,9.375,25.0,64,32,11,0,53
fixed_state_direct,logistics_contract,abstract_contest,0.9,10.9375,4.6875,18.75,64,32,7,0,57
fixed_state_direct,crystal_guild_contract,abstract_contest,all,15.104166666666666,10.416666666666668,19.791666666666664,192,96,29,0,163
fixed_state_direct,crystal_guild_contract,abstract_contest,0.1,15.625,7.8125,23.4375,64,32,10,0,54
fixed_state_direct,crystal_guild_contract,abstract_contest,0.6,15.625,7.8125,23.4375,64,32,10,0,54
fixed_state_direct,crystal_guild_contract,abstract_contest,0.9,14.0625,6.25,21.875,64,32,9,0,55
