context,live_full_trajectory,fixed_state_direct,same_direction,live_rank_desc,fixed_rank_desc
technology_race,0.0,3.125,False,7.0,7.0
logistics_contract,33.99657574519706,15.625,True,1.0,2.0
crystal_guild_contract,29.584122474747478,15.104166666666666,True,2.0,3.0
hospital_deployment,22.284866124480097,11.458333333333332,True,4.0,5.0
colony_life_support,20.89250346603288,9.375,True,5.0,6.0
robotic_expedition,13.121936274509805,12.5,True,6.0,4.0
fictional_cartography,23.36298029312735,16.666666666666664,True,3.0,1.0
