model,own_adversarial,opponent_adversarial,mean,size,n_races
gpt-5-nano,0,0,0.0,558,30
gpt-5-nano,0,1,0.01971326164874552,558,60
gpt-5-nano,1,0,0.517921146953405,558,60
gpt-5-nano,1,1,0.3978494623655914,558,30
gpt-5.4-nano,0,0,0.025089605734767026,558,30
gpt-5.4-nano,0,1,0.05913978494623656,558,60
gpt-5.4-nano,1,0,0.8064516129032258,558,60
gpt-5.4-nano,1,1,0.7204301075268817,558,30
google/gemini-3-flash-preview,0,0,0.0,558,30
google/gemini-3-flash-preview,0,1,0.09523809523809523,126,18
google/gemini-3-flash-preview,1,0,0.4444444444444444,126,18
google/gemini-3-flash-preview,1,1,0.9841269841269841,126,9
gpt-5.6-luna,0,0,0.026881720430107527,558,30
gpt-5.6-luna,0,1,0.4229390681003584,558,60
gpt-5.6-luna,1,0,0.7347670250896058,558,60
gpt-5.6-luna,1,1,0.8870967741935484,558,30
gpt-5.6-terra,0,0,0.0,558,30
gpt-5.6-terra,0,1,0.2670250896057348,558,60
gpt-5.6-terra,1,0,0.5913978494623656,558,60
gpt-5.6-terra,1,1,0.8189964157706093,558,30
claude-opus-5,0,0,0.0,558,30
claude-opus-5,0,1,0.5931899641577061,558,60
claude-opus-5,1,0,0.6899641577060932,558,60
claude-opus-5,1,1,0.9946236559139785,558,30
claude-sonnet-5,0,0,0.0,558,30
claude-sonnet-5,0,1,0.3602150537634409,558,60
claude-sonnet-5,1,0,0.6792114695340502,558,60
claude-sonnet-5,1,1,0.8494623655913979,558,30
