level,n,unsafe_rate,coef,se,p,converged,model
none,498,0.13855421686746988,-1.097847141473603,0.6200587897824068,0.07663501225990535,True,gpt-5-nano
R0,498,0.01606425702811245,-0.8633875933071515,1.9775007108133944,0.6623975074519932,False,gpt-5-nano
R1,2988,0.019745649263721552,-0.3404954251710621,0.09091196413043982,0.00018015587163974008,True,gpt-5-nano
R2,2988,0.015060240963855422,-0.5746181711764212,0.09917075277254599,6.863526091023776e-09,True,gpt-5-nano
R3,2988,0.1854082998661312,-0.25360979148336177,0.07824466561509602,0.001190106669558942,True,gpt-5-nano
R4,2988,0.5026773761713521,-0.01100197249041315,0.035120462963488724,0.7540801897137053,True,gpt-5-nano
R5,2988,0.5522088353413654,-0.03826881717026012,0.03280548515502258,0.24339733733284397,True,gpt-5-nano
R6,2988,0.5686077643908969,-0.07649218470224663,0.029029925074356647,0.00841515256701686,True,gpt-5-nano
none,498,0.5602409638554217,0.013090254208657708,0.037991742785884124,0.7304287575529329,True,gpt-5.4-nano
R0,498,0.5281124497991968,0.11465461636024024,0.06765811927883142,0.09014805164161094,True,gpt-5.4-nano
R1,2988,0.004350736278447122,-0.24049105687903444,0.1255635296973297,0.05545503879478901,True,gpt-5.4-nano
R2,2988,0.002677376171352075,-0.04108693611915839,0.13949431032133666,0.7683437583585644,True,gpt-5.4-nano
R3,2988,0.3276439089692102,0.26390624884040015,0.0368748032785151,8.257131766778977e-13,True,gpt-5.4-nano
R4,2988,0.4213520749665328,0.23493150130927928,0.033942951840901986,4.4731764958182e-12,True,gpt-5.4-nano
R5,2988,0.7603748326639893,0.1616730055405333,0.046021285712312295,0.0004430691850754184,True,gpt-5.4-nano
R6,2988,0.9829317269076305,-0.07834606855376713,0.09698512013374448,0.4191968885127373,True,gpt-5.4-nano
