round,unsafe,n,model
1,0.5601173020527859,341,human
2,0.533724340175953,341,human
3,0.5131964809384164,341,human
4,0.5659824046920822,341,human
5,0.6264705882352941,340,human
6,0.5799256505576208,269,human
7,0.6136363636363636,220,human
8,0.5851063829787234,188,human
9,0.6049382716049383,162,human
10,0.5793650793650794,126,human
11,0.6190476190476191,105,human
12,0.632183908045977,87,human
13,0.726027397260274,73,human
14,0.6885245901639344,61,human
15,0.5625,48,human
16,0.6388888888888888,36,human
17,0.6666666666666666,36,human
18,0.4666666666666667,30,human
19,0.7307692307692307,26,human
20,0.6818181818181818,22,human
21,0.6111111111111112,18,human
22,0.75,12,human
23,0.875,8,human
24,0.5,4,human
25,0.75,4,human
26,1.0,4,human
27,0.5,2,human
1,0.0,120,gpt-5-nano
2,0.225,120,gpt-5-nano
3,0.075,120,gpt-5-nano
4,0.06666666666666667,120,gpt-5-nano
5,0.10833333333333334,120,gpt-5-nano
6,0.041666666666666664,96,gpt-5-nano
7,0.03125,96,gpt-5-nano
8,0.07142857142857142,84,gpt-5-nano
9,0.0,72,gpt-5-nano
10,0.08333333333333333,48,gpt-5-nano
11,0.0,36,gpt-5-nano
12,0.041666666666666664,24,gpt-5-nano
13,0.041666666666666664,24,gpt-5-nano
14,0.0,12,gpt-5-nano
15,0.08333333333333333,12,gpt-5-nano
16,0.0,12,gpt-5-nano
1,0.38333333333333336,120,gpt-5.4-nano
2,0.49166666666666664,120,gpt-5.4-nano
3,0.5583333333333333,120,gpt-5.4-nano
4,0.6166666666666667,120,gpt-5.4-nano
5,0.525,120,gpt-5.4-nano
6,0.4583333333333333,96,gpt-5.4-nano
7,0.5729166666666666,96,gpt-5.4-nano
8,0.5952380952380952,84,gpt-5.4-nano
9,0.625,72,gpt-5.4-nano
10,0.375,48,gpt-5.4-nano
11,0.6388888888888888,36,gpt-5.4-nano
12,0.5833333333333334,24,gpt-5.4-nano
13,0.7083333333333334,24,gpt-5.4-nano
14,0.3333333333333333,12,gpt-5.4-nano
15,0.25,12,gpt-5.4-nano
16,0.5,12,gpt-5.4-nano
1,0.975,120,google/gemini-3-flash-preview
2,0.4,120,google/gemini-3-flash-preview
3,0.75,120,google/gemini-3-flash-preview
4,0.7833333333333333,120,google/gemini-3-flash-preview
5,0.75,120,google/gemini-3-flash-preview
6,0.7916666666666666,96,google/gemini-3-flash-preview
7,0.84375,96,google/gemini-3-flash-preview
8,0.7738095238095238,84,google/gemini-3-flash-preview
9,0.8194444444444444,72,google/gemini-3-flash-preview
10,0.8333333333333334,48,google/gemini-3-flash-preview
11,0.8055555555555556,36,google/gemini-3-flash-preview
12,0.8333333333333334,24,google/gemini-3-flash-preview
13,0.875,24,google/gemini-3-flash-preview
14,0.8333333333333334,12,google/gemini-3-flash-preview
15,0.9166666666666666,12,google/gemini-3-flash-preview
16,0.8333333333333334,12,google/gemini-3-flash-preview
1,1.0,60,google/gemini-3.1-flash-lite-preview
2,0.5166666666666667,60,google/gemini-3.1-flash-lite-preview
3,0.8333333333333334,60,google/gemini-3.1-flash-lite-preview
4,0.9833333333333333,60,google/gemini-3.1-flash-lite-preview
5,0.8,60,google/gemini-3.1-flash-lite-preview
6,0.8541666666666666,48,google/gemini-3.1-flash-lite-preview
7,0.875,48,google/gemini-3.1-flash-lite-preview
8,0.8809523809523809,42,google/gemini-3.1-flash-lite-preview
9,0.75,36,google/gemini-3.1-flash-lite-preview
10,0.8333333333333334,24,google/gemini-3.1-flash-lite-preview
11,0.8333333333333334,18,google/gemini-3.1-flash-lite-preview
12,0.9166666666666666,12,google/gemini-3.1-flash-lite-preview
13,0.9166666666666666,12,google/gemini-3.1-flash-lite-preview
14,1.0,6,google/gemini-3.1-flash-lite-preview
