id,horizon,base_rate,best_strategies,unique_best,best_mismatch_rate,null_median_mismatch,p_value,beats_chance,n_degenerate_pairs,degenerate,population
P0001,9,0.4444444444444444,"['AS', 'CS']",,0.4444444444444444,0.3333333333333333,1.0,False,0,False,human
P0002,5,0.2,['AS'],AS,0.2,0.2,0.8175,False,0,False,human
P0003,13,0.5384615384615384,['CAS'],CAS,0.38461538461538464,0.38461538461538464,0.7325,False,0,False,human
P0004,5,0.6,['AU'],AU,0.4,0.2,1.0,False,0,False,human
P0005,7,0.42857142857142855,['CS'],CS,0.2857142857142857,0.2857142857142857,0.6175,False,0,False,human
P0006,10,0.7,['AU'],AU,0.3,0.3,0.7175,False,0,False,human
P0007,5,0.8,['CAS'],CAS,0.0,0.2,0.4175,False,0,False,human
P0008,11,0.45454545454545453,['AS'],AS,0.45454545454545453,0.36363636363636365,1.0,False,1,True,human
P0009,6,0.3333333333333333,['AS'],AS,0.3333333333333333,0.3333333333333333,0.885,False,0,False,human
P0010,10,0.8,['AU'],AU,0.2,0.2,0.7,False,0,False,human
P0011,21,0.7142857142857143,['AU'],AU,0.2857142857142857,0.2857142857142857,0.6,False,0,False,human
P0012,5,0.0,"['AS', 'CS']",,0.0,0.0,1.0,False,1,True,human
P0013,11,0.18181818181818182,['AS'],AS,0.18181818181818182,0.18181818181818182,0.7,False,0,False,human
P0014,9,0.6666666666666666,"['AU', 'CAS']",,0.3333333333333333,0.3333333333333333,0.81,False,0,False,human
P0015,14,0.9285714285714286,"['AU', 'CAS']",,0.07142857142857142,0.07142857142857142,0.7675,False,1,True,human
P0016,5,0.4,['AS'],AS,0.4,0.2,1.0,False,0,False,human
P0017,10,0.5,"['AS', 'AU', 'CAS']",,0.5,0.4,1.0,False,0,False,human
P0018,8,0.875,['AU'],AU,0.125,0.125,0.77,False,0,False,human
P0019,11,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0020,5,0.8,['AU'],AU,0.2,0.2,0.875,False,0,False,human
P0021,15,0.4666666666666667,['AS'],AS,0.4666666666666667,0.4,1.0,False,0,False,human
P0022,9,0.7777777777777778,"['AU', 'CS']",,0.2222222222222222,0.2222222222222222,0.745,False,0,False,human
P0023,10,0.5,['CS'],CS,0.4,0.3,0.8925,False,0,False,human
P0024,11,0.7272727272727273,['CAS'],CAS,0.18181818181818182,0.2727272727272727,0.485,False,0,False,human
P0025,23,0.7391304347826086,['AU'],AU,0.2608695652173913,0.2608695652173913,0.57,False,0,False,human
P0026,5,0.4,['CS'],CS,0.2,0.2,0.645,False,0,False,human
P0027,5,0.2,['AS'],AS,0.2,0.2,0.8125,False,0,False,human
P0028,6,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0029,7,0.5714285714285714,['CAS'],CAS,0.2857142857142857,0.2857142857142857,0.7025,False,0,False,human
P0030,14,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0031,12,0.0,['AS'],AS,0.0,0.0,1.0,False,0,False,human
P0032,15,0.8666666666666667,['AU'],AU,0.13333333333333333,0.13333333333333333,0.6725,False,0,False,human
P0033,11,0.5454545454545454,['AU'],AU,0.45454545454545453,0.36363636363636365,1.0,False,0,False,human
P0034,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0035,5,0.2,"['AS', 'CS']",,0.2,0.2,0.8025,False,0,False,human
P0036,8,0.75,['AU'],AU,0.25,0.25,0.7625,False,0,False,human
P0037,15,0.4,['AS'],AS,0.4,0.3333333333333333,0.8225,False,0,False,human
P0038,7,0.42857142857142855,"['AS', 'CAS']",,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0039,20,0.55,['CAS'],CAS,0.4,0.4,0.7,False,0,False,human
P0040,6,0.3333333333333333,['AS'],AS,0.3333333333333333,0.25,0.8925,False,0,False,human
P0041,10,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0042,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.825,False,0,False,human
P0043,9,0.3333333333333333,"['AS', 'CAS']",,0.3333333333333333,0.3333333333333333,0.8025,False,0,False,human
P0044,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.805,False,0,False,human
P0045,6,0.8333333333333334,['CS'],CS,0.0,0.16666666666666666,0.4475,False,1,True,human
P0046,7,0.2857142857142857,"['AS', 'CS']",,0.2857142857142857,0.2857142857142857,0.835,False,0,False,human
P0047,9,0.6666666666666666,['CAS'],CAS,0.2222222222222222,0.3333333333333333,0.455,False,0,False,human
P0048,5,0.8,['AU'],AU,0.2,0.2,0.79,False,0,False,human
P0049,9,0.4444444444444444,['AS'],AS,0.4444444444444444,0.3333333333333333,1.0,False,0,False,human
P0050,5,0.4,"['AS', 'CS']",,0.4,0.2,1.0,False,0,False,human
