analysis,setting,perplexity,seed,trustworthiness,neighbourhood_jaccard_vs_baseline
tsne,p5_seed20260908,5,20260908,0.9580691042395677,0.4585923874017488
tsne,p5_seed20260909,5,20260909,0.9575226737127759,0.4595852601260146
tsne,p5_seed20260910,5,20260910,0.9560550120212336,0.4531172916148575
tsne,p15_seed20260908,15,20260908,0.9657700730795782,0.5439379383621968
tsne,p15_seed20260909,15,20260909,0.9640536551691304,0.5342551716335024
tsne,p15_seed20260910,15,20260910,0.9648027803565903,0.5489285452980313
tsne,p30_seed20260908,30,20260908,0.9642582541836273,1.0
tsne,p30_seed20260909,30,20260909,0.9633352376871622,0.6137694768659544
tsne,p30_seed20260910,30,20260910,0.9655223880597015,0.5618668791255674
tsne,p50_seed20260908,50,20260908,0.9659134947273204,0.5021849131049348
tsne,p50_seed20260909,50,20260909,0.9631169511295199,0.49442741122851275
tsne,p50_seed20260910,50,20260910,0.9660132352591111,0.49559725859453707
