population,player_id,unsafe_rate,tsne_x,tsne_y
human,P0001,0.2,-64.71864,21.23489
human,P0002,0.2,-2.600799,42.606697
human,P0003,0.6,34.927788,-55.373154
human,P0004,0.6,-47.033543,34.592224
human,P0005,0.4,-10.92483,-87.16153
human,P0006,0.8,33.49934,56.140793
human,P0007,0.8,55.300953,23.561644
human,P0008,0.4,36.62408,-58.34128
human,P0009,0.4,-39.37847,9.068159
human,P0010,0.8,3.2653863,84.96555
human,P0011,0.4,-29.780233,-64.335724
human,P0012,0.0,-90.51447,-17.499035
human,P0013,0.2,-11.200341,60.736317
human,P0014,0.6,49.014885,40.41772
human,P0015,1.0,94.868546,-11.558351
human,P0016,0.4,-14.989562,-68.473366
human,P0017,0.4,20.427347,-35.26656
human,P0018,0.8,-16.003277,68.58598
human,P0019,1.0,28.385996,64.21651
human,P0020,0.8,-6.471207,74.31677
human,P0021,0.4,-21.68662,-77.84675
human,P0022,0.6,1.9580288,-50.44398
human,P0023,0.6,-18.727625,-25.98619
human,P0024,0.8,56.749817,26.617165
human,P0025,0.6,-12.300429,-94.73212
human,P0026,0.4,-13.074991,-85.079
human,P0027,0.2,-4.7592144,-97.07551
human,P0028,1.0,6.824613,77.27181
human,P0029,0.4,2.322132,-10.184617
human,P0030,1.0,92.56275,-7.8437076
human,P0031,0.0,-68.519905,-24.07304
human,P0032,0.6,32.720352,-18.434595
human,P0033,0.6,-14.361693,-62.300014
human,P0034,0.6,-21.407858,44.084373
human,P0035,0.2,-34.92266,-24.838125
human,P0036,0.8,4.229722,48.976685
human,P0037,0.6,1.5931282,68.05804
human,P0038,0.6,45.350346,-17.177519
human,P0039,0.6,3.0489073,41.896526
human,P0040,0.2,-82.78523,25.701553
human,P0041,1.0,8.573578,80.201065
human,P0042,0.8,4.229722,48.976685
human,P0043,0.2,-11.297267,58.26203
human,P0044,0.8,34.18675,52.760403
human,P0045,0.8,8.091781,-81.853775
human,P0046,0.4,-25.548908,-69.55783
human,P0047,0.6,-23.38847,60.330303
human,P0048,0.8,-10.775305,92.18627
human,P0049,0.4,-40.83336,0.7133204
human,P0050,0.4,-20.200819,-89.87518
human,P0051,0.8,62.55877,-22.2263
human,P0052,0.6,27.480114,-20.059633
human,P0053,0.6,1.2933435,-71.92935
human,P0054,0.8,51.442226,23.829447
human,P0055,0.8,-0.94077474,69.85152
human,P0056,0.6,1.0264081,-73.78549
human,P0057,0.6,-13.277845,77.842926
human,P0058,0.6,-17.028763,60.009872
human,P0059,0.6,-11.269112,-62.28389
human,P0061,0.6,0.9910215,-60.373863
human,P0062,0.6,38.84112,21.790613
human,P0063,0.4,-0.7442201,-85.03027
human,P0064,0.4,-1.6754338,37.710438
human,P0065,0.8,-45.231987,47.135296
human,P0066,0.8,6.711838,-83.98387
human,P0067,0.8,51.278755,48.10529
human,P0068,0.8,63.37835,5.1058736
human,P0069,0.4,-12.556007,-47.294807
human,P0070,0.2,-29.122555,61.598434
human,P0071,0.2,-24.49819,-78.258316
human,P0072,0.6,-18.278059,62.667877
human,P0073,0.6,-29.17003,-31.804045
human,P0074,0.6,-2.0593147,-46.102573
human,P0075,1.0,62.789555,17.611004
human,P0076,0.4,10.232927,-78.1144
human,P0077,0.6,1.1122261,-55.785946
human,P0078,0.8,-0.94077474,69.85152
human,P0079,0.4,-10.719633,-64.69739
human,P0080,0.2,-24.49819,-78.258316
human,P0081,0.4,4.9692855,-90.98586
human,P0082,0.2,-45.828003,-24.222513
human,P0083,0.6,30.650496,40.01951
human,P0084,0.6,-1.0716159,49.066048
human,P0085,0.6,-1.527545,-56.194736
human,P0086,0.6,42.68741,32.21845
human,P0087,0.6,-2.7180593,65.40208
human,P0088,0.4,7.0307164,-89.86497
human,P0089,0.6,38.643654,-40.41863
human,P0090,0.2,-5.988373,-91.61606
human,P0091,0.4,-6.141323,-88.48522
human,P0092,0.6,4.288326,-60.070705
human,P0093,0.6,-38.587254,18.596577
human,P0094,0.2,-44.941475,-5.8300614
human,P0095,0.4,-28.175964,-62.99534
human,P0096,0.4,-47.811275,-10.108428
human,P0097,0.6,51.07024,42.953724
human,P0098,1.0,-10.03432,86.566635
human,P0099,0.6,9.088801,-64.77622
human,P0100,0.4,-24.533186,78.59815
human,P0101,0.6,23.712877,-26.757622
human,P0102,0.6,-44.06618,31.362028
human,P0103,0.8,-40.793488,41.18087
human,P0104,0.4,-43.914005,7.2561717
human,P0105,0.8,13.2059765,-57.48961
human,P0106,0.4,23.723076,-22.785799
human,P0107,0.4,39.357956,-12.206386
human,P0108,0.6,-16.712858,40.237206
human,P0109,0.4,-0.9804373,-82.25617
human,P0110,0.4,-47.811275,-10.108428
human,P0111,0.4,-23.821415,80.71986
human,P0112,0.4,-17.609976,-53.685078
human,P0113,0.6,4.288326,-60.070705
human,P0114,0.6,45.350346,-17.177519
human,P0115,0.4,-8.472192,-45.023876
human,P0116,0.2,-80.41338,25.254236
human,P0117,0.4,-25.91597,69.82463
human,P0118,0.8,38.808605,-51.448338
human,P0119,1.0,34.232273,63.802567
human,P0120,1.0,71.61089,-9.066434
human,P0121,0.4,-23.54266,-47.178516
human,P0122,0.8,52.500546,49.540512
human,P0123,0.4,-20.450258,34.150764
human,P0124,0.6,54.537567,-21.85896
human,P0125,0.6,2.4075587,-15.768083
human,P0126,0.4,1.1777961,-87.56906
human,P0127,1.0,-12.703985,88.74746
human,P0128,0.4,-23.471218,-22.526266
human,P0129,0.6,-7.3362365,-66.07573
human,P0130,0.6,1.2957848,-18.175274
human,P0131,1.0,46.997887,-10.550197
human,P0132,0.6,-22.277271,82.20535
human,P0133,0.6,43.263374,43.040924
human,P0134,0.8,54.446682,-14.669794
human,P0135,0.8,29.776213,-40.705364
human,P0136,1.0,67.22244,-9.1815815
human,P0137,0.8,7.908023,53.750755
human,P0138,0.8,56.11875,12.618661
human,P0139,0.8,8.688937,-54.710552
human,P0140,0.4,-40.672485,11.0870075
human,P0141,0.6,-15.356465,-74.52349
human,P0142,0.6,-39.636963,39.298252
human,P0143,0.6,3.8084443,-79.73505
human,P0144,0.6,-11.318304,33.496815
human,P0145,0.4,-22.60763,-67.84922
human,P0146,0.6,34.059467,35.289745
human,P0147,0.6,-6.79621,-50.9692
human,P0148,0.4,-25.61144,71.605705
human,P0149,0.8,50.625263,4.950926
human,P0150,0.4,-62.085438,6.485426
human,P0151,0.6,52.049595,14.109921
human,P0152,0.6,-1.2842073,55.3346
human,P0153,0.6,2.6477025,-52.157925
human,P0154,0.8,-15.57322,81.93202
human,P0155,0.8,6.052797,74.768105
human,P0156,1.0,35.443222,69.516754
human,P0157,0.4,-14.124724,57.141098
human,P0158,0.4,-13.606795,47.941242
human,P0159,0.6,41.2981,-56.51276
human,P0160,0.6,39.09117,-10.269472
human,P0161,0.2,-28.735735,-50.811726
human,P0162,0.4,-12.158473,37.96938
human,P0163,0.8,46.52835,52.010612
human,P0164,0.4,-23.532537,-63.801212
human,P0165,0.0,-71.92519,-0.5235745
human,P0166,0.4,31.38137,46.363266
human,P0167,0.4,-17.115282,47.45135
human,P0168,0.6,-7.510741,-48.366386
human,P0169,0.0,-88.16146,-21.199493
human,P0170,0.6,-16.63038,-65.93538
human,P0171,0.6,-11.195183,-51.026443
human,P0172,0.4,-23.54266,-47.178516
human,P0173,0.4,31.956648,-56.245518
human,P0174,0.4,-12.556007,-47.294807
human,P0175,0.4,-47.811275,-10.108428
human,P0176,0.6,-11.318304,33.496815
human,P0177,0.8,1.3650856,83.20689
human,P0178,0.2,-22.93678,-60.63926
human,P0179,0.6,45.599686,-2.6486175
human,P0180,0.6,50.7116,-23.722464
human,P0181,0.4,-21.106731,54.926815
human,P0182,0.6,-34.049583,35.01959
human,P0183,0.4,-29.51626,57.28102
human,P0184,0.4,-22.561102,53.830685
human,P0185,1.0,-1.766257,82.308495
human,P0186,0.8,-17.350544,74.45993
human,P0187,0.4,-12.158473,37.96938
human,P0188,0.4,-1.0028546,44.50881
human,P0189,0.6,-23.49496,-25.100058
human,P0190,0.2,-21.888657,-51.414276
human,P0191,0.8,-0.22729586,90.03247
human,P0192,0.6,11.218852,-82.733505
human,P0193,0.2,-21.167093,-85.98655
human,P0194,0.2,-8.135178,-98.539825
human,P0195,0.4,-24.811935,64.21113
human,P0196,0.6,54.537567,-21.85896
human,P0197,0.4,-39.730293,33.929485
human,P0198,0.2,-54.81789,-35.504547
human,P0199,0.8,56.11875,12.618661
human,P0200,0.6,3.8084443,-79.73505
human,P0201,0.6,-52.363186,43.0223
human,P0202,0.2,-67.07538,40.303226
human,P0203,1.0,63.67724,16.36762
human,P0204,0.8,4.229722,48.976685
human,P0205,0.4,-25.56825,62.070747
human,P0206,0.8,-12.563915,80.68568
human,P0207,0.2,-31.33835,-22.501656
human,P0208,0.6,-7.942377,34.364357
human,P0209,1.0,77.42757,-14.245202
human,P0210,0.8,52.46691,-14.944122
human,P0211,0.6,-13.243457,-89.47941
