analysis,setting,min_cluster_size,min_samples,n_clusters,noise_fraction,largest_cluster_fraction,population_summary_json,ari_vs_baseline
hdbscan,mcs10_ms3,10,3,18,0.11578947368421053,0.15526315789473685,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.8666666666666667, ""n"": 60, ""noise_fraction"": 0.13333333333333333}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.95, ""n"": 60, ""noise_fraction"": 0.05}, ""gpt-5-nano"": {""clustered_fraction"": 0.9666666666666667, ""n"": 60, ""noise_fraction"": 0.03333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.5333333333333333, ""n"": 60, ""noise_fraction"": 0.4666666666666667}, ""human"": {""clustered_fraction"": 0.8735294117647059, ""n"": 340, ""noise_fraction"": 0.1264705882352941}}",0.6981358745441535
hdbscan,mcs10_ms6,10,6,15,0.20789473684210527,0.15789473684210525,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.8, ""n"": 60, ""noise_fraction"": 0.2}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.8333333333333334, ""n"": 60, ""noise_fraction"": 0.16666666666666666}, ""gpt-5-nano"": {""clustered_fraction"": 0.8333333333333334, ""n"": 60, ""noise_fraction"": 0.16666666666666666}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.43333333333333335, ""n"": 60, ""noise_fraction"": 0.5666666666666667}, ""human"": {""clustered_fraction"": 0.7411764705882353, ""n"": 340, ""noise_fraction"": 0.25882352941176473}}",0.7687044144945991
hdbscan,mcs10_ms9,10,9,11,0.30394736842105263,0.1394736842105263,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.8333333333333334, ""n"": 60, ""noise_fraction"": 0.16666666666666666}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.7833333333333333, ""n"": 60, ""noise_fraction"": 0.21666666666666667}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.6666666666666666, ""n"": 60, ""noise_fraction"": 0.3333333333333333}, ""gpt-5-nano"": {""clustered_fraction"": 0.4666666666666667, ""n"": 60, ""noise_fraction"": 0.5333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.36666666666666664, ""n"": 60, ""noise_fraction"": 0.6333333333333333}, ""human"": {""clustered_fraction"": 0.6529411764705882, ""n"": 340, ""noise_fraction"": 0.34705882352941175}}",0.5889599750933188
hdbscan,mcs15_ms3,15,3,14,0.09078947368421053,0.15526315789473685,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.9666666666666667, ""n"": 60, ""noise_fraction"": 0.03333333333333333}, ""gpt-5-nano"": {""clustered_fraction"": 0.9666666666666667, ""n"": 60, ""noise_fraction"": 0.03333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.55, ""n"": 60, ""noise_fraction"": 0.45}, ""human"": {""clustered_fraction"": 0.9117647058823529, ""n"": 340, ""noise_fraction"": 0.08823529411764706}}",0.7341452569462531
hdbscan,mcs15_ms6,15,6,8,0.16578947368421051,0.17894736842105263,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 0.9833333333333333, ""n"": 60, ""noise_fraction"": 0.016666666666666666}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.8166666666666667, ""n"": 60, ""noise_fraction"": 0.18333333333333332}, ""gpt-5-nano"": {""clustered_fraction"": 0.8666666666666667, ""n"": 60, ""noise_fraction"": 0.13333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.5, ""n"": 60, ""noise_fraction"": 0.5}, ""human"": {""clustered_fraction"": 0.788235294117647, ""n"": 340, ""noise_fraction"": 0.21176470588235294}}",0.933408162693977
hdbscan,mcs15_ms9,15,9,7,0.275,0.16842105263157894,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.9166666666666666, ""n"": 60, ""noise_fraction"": 0.08333333333333333}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.6666666666666666, ""n"": 60, ""noise_fraction"": 0.3333333333333333}, ""gpt-5-nano"": {""clustered_fraction"": 0.4666666666666667, ""n"": 60, ""noise_fraction"": 0.5333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.43333333333333335, ""n"": 60, ""noise_fraction"": 0.5666666666666667}, ""human"": {""clustered_fraction"": 0.6647058823529411, ""n"": 340, ""noise_fraction"": 0.3352941176470588}}",0.7102784856937698
hdbscan,mcs20_ms3,20,3,10,0.07368421052631578,0.17105263157894737,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""gpt-5-nano"": {""clustered_fraction"": 0.9666666666666667, ""n"": 60, ""noise_fraction"": 0.03333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.6, ""n"": 60, ""noise_fraction"": 0.4}, ""human"": {""clustered_fraction"": 0.9235294117647059, ""n"": 340, ""noise_fraction"": 0.07647058823529412}}",0.7921193355683708
hdbscan,mcs20_ms6,20,6,7,0.14736842105263157,0.17894736842105263,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.95, ""n"": 60, ""noise_fraction"": 0.05}, ""gpt-5-nano"": {""clustered_fraction"": 0.8666666666666667, ""n"": 60, ""noise_fraction"": 0.13333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.5, ""n"": 60, ""noise_fraction"": 0.5}, ""human"": {""clustered_fraction"": 0.8029411764705883, ""n"": 340, ""noise_fraction"": 0.19705882352941176}}",1.0
hdbscan,mcs20_ms9,20,9,7,0.275,0.16842105263157894,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 0.9166666666666666, ""n"": 60, ""noise_fraction"": 0.08333333333333333}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 0.6666666666666666, ""n"": 60, ""noise_fraction"": 0.3333333333333333}, ""gpt-5-nano"": {""clustered_fraction"": 0.4666666666666667, ""n"": 60, ""noise_fraction"": 0.5333333333333333}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.43333333333333335, ""n"": 60, ""noise_fraction"": 0.5666666666666667}, ""human"": {""clustered_fraction"": 0.6647058823529411, ""n"": 340, ""noise_fraction"": 0.3352941176470588}}",0.7102784856937698
hdbscan,mcs25_ms3,25,3,9,0.06447368421052632,0.19342105263157894,"{""claude-opus-5"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""claude-sonnet-5"": {""clustered_fraction"": 0.9333333333333333, ""n"": 60, ""noise_fraction"": 0.06666666666666667}, ""google/gemini-3-flash-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.1-flash-lite-preview"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""google/gemini-3.5-flash-lite"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""gpt-5-nano"": {""clustered_fraction"": 1.0, ""n"": 60, ""noise_fraction"": 0.0}, ""gpt-5.4-nano"": {""clustered_fraction"": 0.6666666666666666, ""n"": 60, ""noise_fraction"": 0.3333333333333333}, ""human"": {""clustered_fraction"": 0.9264705882352942, ""n"": 340, ""noise_fraction"": 0.07352941176470588}}",0.8128637422894304
