k,population,n,share_c0,share_c1,share_c2,share_c3,share_c4,share_c5,max_share,n_archetypes_occupied,n_archetypes_share_ge_0p01,n_archetypes_nonzero
2,human,341,0.5483870967741935,0.45161290322580644,,,,,0.5483870967741935,2,2,2
2,gpt-5-nano,120,0.0,1.0,,,,,1.0,1,1,1
2,gpt-5.4-nano,120,0.36666666666666664,0.6333333333333333,,,,,0.6333333333333333,2,2,2
2,google/gemini-3-flash-preview,120,0.975,0.025,,,,,0.975,1,2,2
2,google/gemini-3.1-flash-lite-preview,60,1.0,0.0,,,,,1.0,1,1,1
2,google/gemini-3.5-flash-lite,60,1.0,0.0,,,,,1.0,1,1,1
2,gpt-5.6-luna,120,0.95,0.05,,,,,0.95,2,2,2
2,gpt-5.6-terra,120,0.7666666666666667,0.23333333333333334,,,,,0.7666666666666667,2,2,2
2,claude-opus-5,120,0.3333333333333333,0.6666666666666666,,,,,0.6666666666666666,2,2,2
2,claude-sonnet-5,120,0.20833333333333334,0.7916666666666666,,,,,0.7916666666666666,2,2,2
3,human,341,0.31378299120234604,0.18475073313782991,0.501466275659824,,,,0.501466275659824,3,3,3
3,gpt-5-nano,120,0.9583333333333334,0.041666666666666664,0.0,,,,0.9583333333333334,1,2,2
3,gpt-5.4-nano,120,0.35833333333333334,0.35,0.2916666666666667,,,,0.35833333333333334,3,3,3
3,google/gemini-3-flash-preview,120,0.025,0.0,0.975,,,,0.975,1,2,2
3,google/gemini-3.1-flash-lite-preview,60,0.0,0.0,1.0,,,,1.0,1,1,1
3,google/gemini-3.5-flash-lite,60,0.0,0.0,1.0,,,,1.0,1,1,1
3,gpt-5.6-luna,120,0.016666666666666666,0.03333333333333333,0.95,,,,0.95,1,3,3
3,gpt-5.6-terra,120,0.225,0.008333333333333333,0.7666666666666667,,,,0.7666666666666667,2,2,3
3,claude-opus-5,120,0.6666666666666666,0.0,0.3333333333333333,,,,0.6666666666666666,2,2,2
3,claude-sonnet-5,120,0.475,0.31666666666666665,0.20833333333333334,,,,0.475,3,3,3
4,human,341,0.05571847507331378,0.49853372434017595,0.39002932551319647,0.05571847507331378,,,0.49853372434017595,4,4,4
4,gpt-5-nano,120,0.008333333333333333,0.0,0.9916666666666667,0.0,,,0.9916666666666667,1,1,2
4,gpt-5.4-nano,120,0.11666666666666667,0.3333333333333333,0.5166666666666667,0.03333333333333333,,,0.5166666666666667,3,4,4
4,google/gemini-3-flash-preview,120,0.0,0.7833333333333333,0.016666666666666666,0.2,,,0.7833333333333333,2,3,3
4,google/gemini-3.1-flash-lite-preview,60,0.0,0.8333333333333334,0.0,0.16666666666666666,,,0.8333333333333334,2,2,2
4,google/gemini-3.5-flash-lite,60,0.0,0.7666666666666667,0.0,0.23333333333333334,,,0.7666666666666667,2,2,2
4,gpt-5.6-luna,120,0.0,0.725,0.03333333333333333,0.24166666666666667,,,0.725,2,3,3
4,gpt-5.6-terra,120,0.0,0.5916666666666667,0.14166666666666666,0.26666666666666666,,,0.5916666666666667,3,3,3
4,claude-opus-5,120,0.0,0.3333333333333333,0.6666666666666666,0.0,,,0.6666666666666666,2,2,2
4,claude-sonnet-5,120,0.0,0.20833333333333334,0.775,0.016666666666666666,,,0.775,2,3,3
5,human,341,0.05865102639296188,0.16715542521994134,0.3460410557184751,0.25513196480938416,0.17302052785923755,,0.3460410557184751,5,5,5
5,gpt-5-nano,120,0.008333333333333333,0.0,0.9916666666666667,0.0,0.0,,0.9916666666666667,1,1,2
5,gpt-5.4-nano,120,0.11666666666666667,0.18333333333333332,0.4666666666666667,0.10833333333333334,0.125,,0.4666666666666667,5,5,5
5,google/gemini-3-flash-preview,120,0.0,0.075,0.03333333333333333,0.5416666666666666,0.35,,0.5416666666666666,3,4,4
5,google/gemini-3.1-flash-lite-preview,60,0.0,0.016666666666666666,0.0,0.7,0.2833333333333333,,0.7,2,3,3
5,google/gemini-3.5-flash-lite,60,0.0,0.1,0.0,0.4,0.5,,0.5,3,3,3
5,gpt-5.6-luna,120,0.0,0.008333333333333333,0.025,0.6583333333333333,0.30833333333333335,,0.6583333333333333,2,3,4
5,gpt-5.6-terra,120,0.0,0.008333333333333333,0.14166666666666666,0.30833333333333335,0.5416666666666666,,0.5416666666666666,3,3,4
5,claude-opus-5,120,0.0,0.016666666666666666,0.65,0.3333333333333333,0.0,,0.65,2,3,3
5,claude-sonnet-5,120,0.0,0.375,0.35833333333333334,0.24166666666666667,0.025,,0.375,3,4,4
6,human,341,0.12316715542521994,0.2287390029325513,0.16422287390029325,0.16129032258064516,0.2668621700879765,0.05571847507331378,0.2668621700879765,6,6,6
6,gpt-5-nano,120,0.0,0.9583333333333334,0.03333333333333333,0.0,0.0,0.008333333333333333,0.9583333333333334,1,2,3
6,gpt-5.4-nano,120,0.058333333333333334,0.19166666666666668,0.35,0.15,0.14166666666666666,0.10833333333333334,0.35,6,6,6
6,google/gemini-3-flash-preview,120,0.175,0.008333333333333333,0.008333333333333333,0.26666666666666666,0.5416666666666666,0.0,0.5416666666666666,3,3,5
