model,persona,n,unsafe_rate,coef,se,p,converged
gpt-5-nano,none,675,0.18074074074074073,-0.08369095398564552,0.19666839727237023,0.6704405331543035,True
gpt-5-nano,R1,675,0.057777777777777775,-0.32320888580940077,0.5179564944697945,0.5326224711941442,True
gpt-5-nano,R2,675,0.09037037037037036,-1.397378894620548,0.3439836487734011,4.858302893574005e-05,True
gpt-5-nano,R3,675,0.3022222222222222,0.0913211712877986,0.12053978712398858,0.4486893446988418,True
gpt-5-nano,R4,675,0.4651851851851852,0.22833100233783923,0.09238238750257341,0.013451524671761445,True
gpt-5-nano,R5,675,0.5792592592592593,0.3925854920774627,0.09373187709440266,2.8094259865717428e-05,True
gpt-5-nano,R6,675,0.5807407407407408,0.30283446456696256,0.07634187842488406,7.28380619919577e-05,True
gpt-5.4-nano,none,675,0.8385185185185186,0.06858250080050042,0.19132721727237695,0.7200016527635498,True
gpt-5.4-nano,R1,675,0.03259259259259259,-1.6514255856532662e-16,0.5229242204047947,0.9999999999999998,True
gpt-5.4-nano,R2,675,0.025185185185185185,-3.3644557295796855e-16,1.2935451164930926e-16,0.009296400006632455,True
gpt-5.4-nano,R3,675,0.9274074074074075,0.5336830829284832,0.19437373421240733,0.006039035802633093,True
gpt-5.4-nano,R4,675,0.9718518518518519,1.4467944264437624,0.4060285215919761,0.0003662458183366364,True
gpt-5.4-nano,R5,675,0.9940740740740741,-5.500224780196258,1.4864695493613311,0.00021543524108112152,False
gpt-5.4-nano,R6,675,0.9925925925925926,0.0,0.0,,False
