max_private_risk,focal_strategy,opponent_strategy,expected_unsafe_fraction
0.1,AS,AS,0.0
0.1,AS,AU,0.0
0.1,AS,CS,0.0
0.1,AS,CAS,0.0
0.1,AU,AS,1.0
0.1,AU,AU,1.0
0.1,AU,CS,1.0
0.1,AU,CAS,1.0
0.1,CS,AS,0.0
0.1,CS,AU,0.8679374720657662
0.1,CS,CS,0.0
0.1,CS,CAS,0.4609540948481896
0.1,CAS,AS,0.13206252793423498
0.1,CAS,AU,1.0
0.1,CAS,CS,0.5390459051518105
0.1,CAS,CAS,1.0
0.6,AS,AS,0.0
0.6,AS,AU,0.0
0.6,AS,CS,0.0
0.6,AS,CAS,0.0
0.6,AU,AS,1.0
0.6,AU,AU,1.0
0.6,AU,CS,1.0
0.6,AU,CAS,1.0
0.6,CS,AS,0.0
0.6,CS,AU,0.8679374720657662
0.6,CS,CS,0.0
0.6,CS,CAS,0.4609540948481896
0.6,CAS,AS,0.13206252793423498
0.6,CAS,AU,1.0
0.6,CAS,CS,0.5390459051518105
0.6,CAS,CAS,1.0
0.9,AS,AS,0.0
0.9,AS,AU,0.0
0.9,AS,CS,0.0
0.9,AS,CAS,0.0
0.9,AU,AS,1.0
0.9,AU,AU,1.0
0.9,AU,CS,1.0
0.9,AU,CAS,1.0
0.9,CS,AS,0.0
0.9,CS,AU,0.8679374720657662
0.9,CS,CS,0.0
0.9,CS,CAS,0.4609540948481896
0.9,CAS,AS,0.13206252793423498
0.9,CAS,AU,1.0
0.9,CAS,CS,0.5390459051518105
0.9,CAS,CAS,1.0
