regime,regime_label,beta,mutation,max_private_risk,chain,seed,samples,unsafe_frequency,moves,frequency_AS,frequency_AU,frequency_CS,frequency_CAS
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,0,260726,1000,0.9909111610524973,11507,0.0074199999999999215,0.9120000000000046,0.006039999999999938,0.07454000000000002
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,1,260727,1000,0.9919516215448566,10594,0.006469999999999932,0.9224700000000061,0.006539999999999929,0.06452000000000015
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,2,260728,1000,0.9917156238258233,10752,0.006669999999999937,0.9214900000000043,0.006319999999999936,0.0655200000000001
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.1,3,260729,1000,0.9914774022261671,10539,0.006809999999999931,0.9197300000000039,0.006689999999999934,0.0667700000000001
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,0,261726,1000,0.9807859321022051,6480,0.006439999999999938,0.02324999999999997,0.007479999999999929,0.9628300000000107
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,1,261727,1000,0.9795737473350191,6403,0.006639999999999939,0.019940000000000044,0.008319999999999926,0.965100000000011
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,2,261728,1000,0.9814417293551139,7062,0.005739999999999942,0.02373000000000003,0.008139999999999927,0.9623900000000101
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.6,3,261729,1000,0.9801584926764192,6761,0.006699999999999931,0.024500000000000004,0.007659999999999923,0.961140000000009
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,0,262726,1000,0.018344447847722625,9054,0.04788000000000008,0.006549999999999934,0.9388600000000076,0.006709999999999935
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,1,262727,1000,0.01799787256384331,9030,0.04967000000000012,0.006529999999999936,0.9374100000000055,0.006389999999999943
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,2,262728,1000,0.018873557154990336,9634,0.05670000000000006,0.007069999999999926,0.9298500000000044,0.006379999999999935
main_reference,"Main text: beta=2, mu=beta/Z=0.02",2.0,0.02,0.9,3,262729,1000,0.02016308111489865,8507,0.037780000000000015,0.007469999999999918,0.9480200000000055,0.006729999999999932
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,0,270726,1000,0.9958636593493075,7975,0.003389999999999978,0.9396500000000064,0.003309999999999981,0.05365000000000006
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,1,270727,1000,0.9954112254250698,9076,0.0037599999999999773,0.9346000000000053,0.0035099999999999754,0.05813000000000005
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,2,270728,1000,0.9957916387860181,8674,0.0034099999999999795,0.9282700000000049,0.003209999999999984,0.06511000000000008
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,3,270729,1000,0.9956953933355367,8060,0.0035299999999999798,0.9279800000000057,0.0030599999999999855,0.06542999999999988
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,0,271726,1000,0.9904418958745671,4920,0.0029499999999999856,0.02428999999999994,0.004149999999999976,0.9686100000000076
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,1,271727,1000,0.9896762279889301,4267,0.0034099999999999808,0.01968000000000002,0.004079999999999971,0.9728300000000096
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,2,271728,1000,0.9899261625924918,4730,0.003439999999999979,0.020039999999999957,0.0037599999999999756,0.9727600000000081
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,3,271729,1000,0.98936130873223,4439,0.003579999999999976,0.017329999999999908,0.0040799999999999725,0.9750100000000081
