variant,term,n_observations,n_blocks,n_blocks_refitted,coefficient_full,coefficient_min,coefficient_max,max_abs_shift,sign_stable,negligible_at_full_sample,block_of_max_shift
full,Intercept,2814,30,29,-1.4970585470837157,-1.5995728008417995,-1.4358893965361799,0.10251425375808387,True,False,google/gemini-3-flash-preview::rep5
full,C(max_private_risk)[T.0.6],2814,30,29,-2.116228885758619,-2.229499858659613,-2.0176785850323267,0.11327097290099397,True,False,google/gemini-3.5-flash-lite::rep3
full,C(max_private_risk)[T.0.9],2814,30,29,-2.790643989784961,-2.933245617696081,-2.6825985674314374,0.14260162791111997,True,False,google/gemini-3.5-flash-lite::rep3
full,C(protocol_signature)[T.979bae7b1682a11de6986508bc46a40cfe183fca8ea14fbfa98940869ae7f0bb],2814,30,29,2.5964415647317036,1.941363794731313,2.96125535115112,0.6550777700003907,True,False,google/gemini-3-flash-preview::rep9
full,C(protocol_signature)[T.9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f],2814,30,29,1.1888686067338292,0.8800633659692912,1.261576268483115,0.30880524076453797,True,False,google/gemini-3-flash-preview::rep9
full,C(protocol_signature)[T.e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537],2814,30,29,0.30509039879469646,-0.20894917226824042,0.7672164340663173,0.5140395710629369,False,False,google/gemini-3-flash-preview::rep0
full,C(protocol_signature)[T.e797ad425dab097001e50ec17372e386b79eacabbda45d5e9ecb2bc8a6d07d09],2814,30,29,3.5274712460251307,2.869360866110973,3.9061620694303882,0.6581103799141577,True,False,google/gemini-3-flash-preview::rep9
full,C(protocol_signature)[T.e7e9fdcc31a6097c7f48a238aef9a1cf1b9f924d4c4f1d2383423f94c79e3ff0],2814,30,29,2.9159059265999314,2.227063492326774,3.2724796249601242,0.6888424342731576,True,False,google/gemini-3-flash-preview::rep9
full,C(protocol_signature)[T.f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c],2814,30,29,6.124151549589023,5.463936351532805,6.282099761868651,0.6602151980562176,True,False,google/gemini-3-flash-preview::rep9
full,C(protocol_signature)[T.f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941],2814,30,29,3.1950979393655525,2.5248120345766543,3.5550836337892173,0.6702859047888983,True,False,google/gemini-3-flash-preview::rep9
full,first_round_unsafe,2814,30,29,1.6738489009941453,1.3732339241243499,2.2658581094129358,0.5920092084187905,True,False,google/gemini-3-flash-preview::rep9
full,own_prev_unsafe,2814,30,29,-0.5952660005026627,-0.852289015467053,-0.4611744959625245,0.2570230149643904,True,False,google/gemini-3-flash-preview::rep7
full,opponent_prev_unsafe,2814,30,29,1.485829220924555,1.278459545602236,1.5790922361315685,0.20736967532231887,True,False,google/gemini-3-flash-preview::rep7
full,own_prev_unsafe:opponent_prev_unsafe,2814,30,29,-0.9840772624015406,-1.22507143525811,-0.7197943350077723,0.26428292739376824,True,False,google/gemini-3-flash-preview::rep7
full,progress_gap_before,2814,30,29,-0.22410774233798403,-0.48248418322029213,0.03569780315119783,0.2598055454891819,False,False,google/gemini-3-flash-preview::rep2
full,own_prev_unsafe:progress_gap_before,2814,30,29,-3.461614391618067,-4.938104679129631,-2.9959170022813972,1.476490287511564,True,False,google/gemini-3-flash-preview::rep2
full,opponent_prev_unsafe:progress_gap_before,2814,30,29,-0.10365210835436182,-0.3436719020464016,0.07954561168142864,0.24001979369203974,False,False,google/gemini-3-flash-preview::rep2
full,own_prev_unsafe:opponent_prev_unsafe:progress_gap_before,2814,30,29,2.46434122187083,1.8401710655636163,4.2370976964063,1.7727564745354703,True,False,google/gemini-3-flash-preview::rep2
exclude_min_horizon,Intercept,2502,24,23,-1.572290390645031,-1.7072950343271125,-1.4899399692909792,0.13500464368208154,True,False,google/gemini-3-flash-preview::rep5
exclude_min_horizon,C(max_private_risk)[T.0.6],2502,24,23,-2.081897688634584,-2.214393425089872,-1.9636991105825776,0.1324957364552879,True,False,google/gemini-3.5-flash-lite::rep3
exclude_min_horizon,C(max_private_risk)[T.0.9],2502,24,23,-2.7567495549717713,-2.9217660107404964,-2.6231679635252365,0.16501645576872503,True,False,google/gemini-3.5-flash-lite::rep3
exclude_min_horizon,C(protocol_signature)[T.979bae7b1682a11de6986508bc46a40cfe183fca8ea14fbfa98940869ae7f0bb],2502,24,23,2.6422880595497156,1.951344887400017,3.109733971206841,0.6909431721496986,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f],2502,24,23,1.2626859506567,0.9577259658267655,1.3510342837170404,0.3049599848299346,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537],2502,24,23,-0.11009257713843411,-0.40070842706818355,-0.037684052468892254,0.2906158499297494,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.e797ad425dab097001e50ec17372e386b79eacabbda45d5e9ecb2bc8a6d07d09],2502,24,23,3.60747735813773,2.911630843652439,4.089383151477655,0.6958465144852908,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.e7e9fdcc31a6097c7f48a238aef9a1cf1b9f924d4c4f1d2383423f94c79e3ff0],2502,24,23,3.053114761548852,2.3405203511002117,3.523316303400558,0.7125944104486401,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c],2502,24,23,5.903238742940281,5.20182115178065,6.075895201761714,0.7014175911596308,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,C(protocol_signature)[T.f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941],2502,24,23,3.2740119839988107,2.5713916195305675,3.730874330155329,0.7026203644682432,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,first_round_unsafe,2502,24,23,1.5579988674581147,1.1368408452095873,2.1858476983804476,0.6278488309223329,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,own_prev_unsafe,2502,24,23,-0.551290650632359,-0.8277516023003149,-0.4070304943592585,0.2764609516679558,True,False,google/gemini-3-flash-preview::rep7
exclude_min_horizon,opponent_prev_unsafe,2502,24,23,1.6752057153367128,1.4595422281391797,1.8005190288671262,0.21566348719753314,True,False,google/gemini-3-flash-preview::rep7
exclude_min_horizon,own_prev_unsafe:opponent_prev_unsafe,2502,24,23,-1.0620924434075691,-1.3534794898370264,-0.775690204945978,0.29138704642945723,True,False,google/gemini-3-flash-preview::rep2
exclude_min_horizon,progress_gap_before,2502,24,23,-0.3244265347782905,-0.5846881825025253,-0.22665544478111918,0.2602616477242348,True,False,google/gemini-3-flash-preview::rep9
exclude_min_horizon,own_prev_unsafe:progress_gap_before,2502,24,23,-3.3651214621927688,-4.907413265353136,-2.8279265752898906,1.5422918031603672,True,False,google/gemini-3-flash-preview::rep2
exclude_min_horizon,opponent_prev_unsafe:progress_gap_before,2502,24,23,-0.021436183684021812,-0.28272417846723863,0.21904687069031517,0.2612879947832168,False,False,google/gemini-3-flash-preview::rep2
exclude_min_horizon,own_prev_unsafe:opponent_prev_unsafe:progress_gap_before,2502,24,23,1.907314626276359,1.1486311931959459,2.276172693159308,0.7586834330804131,True,False,google/gemini-3-flash-preview::rep9
