model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,parameter_point,beta,mu,nominal_mu,mutation_regime,Z,n_players,observed_median_phi_U,observed_mean_phi_U,predicted_phi_U,difference
gpt-5-nano,0.1,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.4,0.4244121156621157,0.9999999999999991,-0.5999999999999991
gpt-5-nano,0.1,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.4,0.4244121156621157,0.9999999999997908,-0.5999999999997908
gpt-5-nano,0.1,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.0,0.04159090909090909,0.9999999999999991,-0.9999999999999991
gpt-5-nano,0.1,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.0,0.04159090909090909,0.9999999999997908,-0.9999999999997908
gpt-5-nano,0.1,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.0,0.0,0.9999999999999991,-0.9999999999999991
gpt-5-nano,0.1,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.0,0.0,0.9999999999997908,-0.9999999999997908
gpt-5-nano,0.1,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.0,0.02,0.9999999999999991,-0.9999999999999991
gpt-5-nano,0.1,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.0,0.02,0.9999999999997908,-0.9999999999997908
gpt-5-nano,0.1,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.0,0.0,0.9999999999999991,-0.9999999999999991
gpt-5-nano,0.1,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.0,0.0,0.9999999999997908,-0.9999999999997908
gpt-5-nano,0.1,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.0,0.02305555555555556,0.9999999999999991,-0.9999999999999991
gpt-5-nano,0.1,R1-R3,ai-race-fairgame-v3,d5a78c68f5cac31ca4db628960ab46c654c0023a9537b0f7b31377a8f061266e,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.0,0.02305555555555556,0.9999999999997908,-0.9999999999997908
