model,max_private_risk,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,R0,15,20,20,0.3283531746031746,0.7246230158730158,-7.964896308410664,37.931468285861186,1.2832916599283103e-09,-2.5187213661644634,1.9249374898924653e-08
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AA,15,20,20,0.3283531746031746,0.7749007936507936,-7.74360429242743,36.184113242663734,3.4430925195212655e-09,-2.4487426863127237,5.164638779281898e-08
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AC,15,20,20,0.3283531746031746,0.4706944444444444,-1.2450976258315933,23.113017810327587,0.22557223132069754,-0.3937344406895935,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_CA,15,20,20,0.3283531746031746,0.45986111111111116,-1.1741934660681663,23.30028370689873,0.25217958458663026,-0.37131257664630407,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,none,15,20,40,0.3283531746031746,0.675109126984127,-7.726536304102347,40.1433721595341,1.8196939990564723e-09,-2.0751446348626414,2.7295409985847084e-08
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_AA,15,20,20,0.7246230158730158,0.7749007936507936,-0.8859979835979572,35.52391968791885,0.38157723496758966,-0.280177163048605,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_AC,15,20,20,0.7246230158730158,0.4706944444444444,2.230176918260827,22.7846411105248,0.035879661600533755,0.7052438646839375,0.5381949240080063
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_CA,15,20,20,0.7246230158730158,0.45986111111111116,2.37395368330178,22.95765001830722,0.026346097344893047,0.7507100698979658,0.3951914601733957
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,none,15,20,40,0.7246230158730158,0.675109126984127,1.1332830701866037,41.71750567249138,0.26356652806257,0.3000402565344122,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AA,S_AC,15,20,20,0.7749007936507936,0.4706944444444444,2.5882320821844114,25.37532593332773,0.015744616203422507,0.8184708492822853,0.2361692430513376
