model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,parameter_point,beta,mu,nominal_mu,mutation_regime,Z,n_players,observed_median_phi_U,observed_mean_phi_U,predicted_phi_U,difference
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.2111111111111111,0.28815469252969256,0.9999999999999991,-0.788888888888888
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.2111111111111111,0.28815469252969256,0.999999999999791,-0.7888888888886798
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.6306818181818181,0.654209471084471,0.9999999999999991,-0.369318181818181
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.6306818181818181,0.654209471084471,0.999999999999791,-0.3693181818179728
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.8444444444444444,0.8015719003219003,0.9999999999999991,-0.15555555555555467
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.8444444444444444,0.8015719003219003,0.999999999999791,-0.1555555555553465
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.4090909090909091,0.4733823815073815,0.9999999999999991,-0.5909090909090899
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.4090909090909091,0.4733823815073815,0.999999999999791,-0.5909090909088819
qwen2.5:7b-instruct-fp16,0.1,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.4230769230769231,0.463813825063825,0.9999999999999991,-0.576923076923076
qwen2.5:7b-instruct-fp16,0.1,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.4230769230769231,0.463813825063825,0.999999999999791,-0.5769230769228679
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,40,0.5634920634920635,0.6054359182484182,0.9999999999999991,-0.4365079365079356
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,40,0.5634920634920635,0.6054359182484182,0.999999999999791,-0.43650793650772746
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.3693181818181818,0.3509609834609835,0.9999999999999987,-0.6306818181818168
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.3693181818181818,0.3509609834609835,0.9306236497959801,-0.5613054679777982
qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.5,0.5935505466755467,0.9999999999999987,-0.49999999999999867
qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.5,0.5935505466755467,0.9306236497959801,-0.4306236497959801
qwen2.5:7b-instruct-fp16,0.6,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.7777777777777778,0.7728844766344767,0.9999999999999987,-0.22222222222222088
qwen2.5:7b-instruct-fp16,0.6,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.7777777777777778,0.7728844766344767,0.9306236497959801,-0.15284587201820232
qwen2.5:7b-instruct-fp16,0.6,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.4,0.4683823815073815,0.9999999999999987,-0.5999999999999986
qwen2.5:7b-instruct-fp16,0.6,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.4,0.4683823815073815,0.9306236497959801,-0.5306236497959801
