model,max_private_risk,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,R0,15,20,20,0.28815469252969256,0.654209471084471,-7.87017695120497,37.85282479953324,1.734364470592285e-09,-2.488768475436756,2.6015467058884273e-08
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AA,15,20,20,0.28815469252969256,0.8015719003219004,-10.100799630856812,36.32275414910206,4.295082836878168e-12,-3.1941533022495507,6.442624255317252e-11
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AC,15,20,20,0.28815469252969256,0.47338238150738154,-1.6304883411722697,22.217638300589897,0.11709467555819192,-0.5156056856454068,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_CA,15,20,20,0.28815469252969256,0.4638138250638251,-1.5751601915779962,22.347792624454712,0.12927123018754041,-0.4981093885013642,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,none,15,20,40,0.28815469252969256,0.6054359182484182,-7.61173627270676,44.689267506739874,1.3300038927374838e-09,-1.9639867842157168,1.9950058391062256e-08
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_AA,15,20,20,0.654209471084471,0.8015719003219004,-2.8263158172371634,37.112918891651695,0.007540302904039772,-0.8937595369429617,0.11310454356059658
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_AC,15,20,20,0.654209471084471,0.47338238150738154,1.5834974112136961,22.638138028953314,0.12717965415122284,0.5007458488415533,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,S_CA,15,20,20,0.654209471084471,0.4638138250638251,1.6981198887193927,22.78465791442827,0.1031027858363886,0.536992658838495,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R0,none,15,20,40,0.654209471084471,0.6054359182484182,1.1271648993045593,42.28390187379902,0.2660287173409627,0.2969251061072685,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AA,S_AC,15,20,20,0.8015719003219004,0.47338238150738154,2.828722561233595,23.929338546983498,0.009302993344893568,0.8945206162203277,0.1395449001734035
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AA,S_CA,15,20,20,0.8015719003219004,0.4638138250638251,2.963302155259211,24.124481098118398,0.006747114112146606,0.9370784205905015,0.10120671168219908
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AA,none,15,20,40,0.8015719003219004,0.6054359182484182,4.096248981362663,36.745708196249446,0.00022139876541403278,1.137413233136462,0.003320981481210492
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AC,S_CA,15,20,20,0.47338238150738154,0.4638138250638251,0.06266763633586364,37.98461296593675,0.9503597809588772,0.019817246640045777,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_AC,none,15,20,40,0.47338238150738154,0.6054359182484182,-1.1757456688305605,21.34309835966201,0.25264565654138876,-0.42320921409952605,1.0
qwen2.5:7b-instruct-fp16,0.1,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,S_CA,none,15,20,40,0.4638138250638251,0.6054359182484182,-1.2850665378276076,21.440524249080223,0.21247848173067355,-0.4612146846633524,1.0
qwen2.5:7b-instruct-fp16,0.6,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,R0,15,20,20,0.3509609834609835,0.5935505466755467,-5.12719800702218,35.95203470628187,1.0213562120754178e-05,-1.621362371686608,0.00015320343181131268
qwen2.5:7b-instruct-fp16,0.6,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AA,15,20,20,0.3509609834609835,0.7728844766344767,-9.21426138023578,36.714076661149456,4.3779023182052495e-11,-2.9138052917671864,6.566853477307875e-10
qwen2.5:7b-instruct-fp16,0.6,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_AC,15,20,20,0.3509609834609835,0.4683823815073815,-1.0484068956262125,21.755040046657566,0.3059595830987316,-0.3315353704805254,1.0
qwen2.5:7b-instruct-fp16,0.6,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,S_CA,15,20,20,0.3509609834609835,0.45058781496281497,-0.922323757934376,21.975595056007062,0.36637578630882295,-0.29166438151584245,1.0
qwen2.5:7b-instruct-fp16,0.6,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,persona_condition,R-,none,15,20,40,0.3509609834609835,0.5360494366744367,-4.915973425257374,43.291326862218156,1.3142147839577723e-05,-1.2836644843650111,0.00019713221759366586
