model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
qwen2.5:7b-instruct-fp16,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.3283531746031746,0.40224206349206354,-1.4694929006125979,37.983802662505525,0.1499338501412142,-0.46469445713832497,0.44980155042364256
qwen2.5:7b-instruct-fp16,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.3283531746031746,0.3486309523809524,-0.3908167608783234,37.934762055342794,0.6981190099342071,-0.12358711121448895,1.0
qwen2.5:7b-instruct-fp16,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.40224206349206354,0.3486309523809524,1.0434225056934825,37.85417518994825,0.3033706747865003,0.3299591679871413,0.9101120243595009
qwen2.5:7b-instruct-fp16,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.7246230158730158,0.658531746031746,1.2680797797987646,37.392098097379424,0.21260855329118278,0.4010020358968871,0.6378256598735483
qwen2.5:7b-instruct-fp16,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.7246230158730158,0.6819841269841269,0.823570405809889,37.497128137569874,0.41539126786179614,0.26043582958684186,1.0
qwen2.5:7b-instruct-fp16,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.658531746031746,0.6819841269841269,-0.4262786203898378,37.99464252434277,0.6723103061233591,-0.13480113582661812,1.0
qwen2.5:7b-instruct-fp16,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.7749007936507936,0.7427380952380952,0.5291465997069463,37.61058579010265,0.5998131626120412,0.16733084712073362,1.0
qwen2.5:7b-instruct-fp16,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.7749007936507936,0.7258730158730159,0.7544842243708049,37.950672623783404,0.45521503603185043,0.23858886076772634,1.0
qwen2.5:7b-instruct-fp16,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.7427380952380952,0.7258730158730159,0.27192146494249636,37.29687942520154,0.7871820492389875,0.08598911739079154,1.0
qwen2.5:7b-instruct-fp16,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.4706944444444444,0.4651388888888889,0.03636088607265786,37.996816099100926,0.9711849616062949,0.011498321773149352,1.0
qwen2.5:7b-instruct-fp16,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.4706944444444444,0.46652777777777776,0.027249980247854896,37.99779157809044,0.9784029687600726,0.008617200377782113,1.0
qwen2.5:7b-instruct-fp16,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.4651388888888889,0.46652777777777776,-0.009125124382371426,37.99991100225159,0.9927670445359927,-0.002885617698063094,1.0
qwen2.5:7b-instruct-fp16,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.45986111111111116,0.44527777777777783,0.0986688929117562,37.96515473275921,0.9219203033247225,0.03120184358083928,1.0
qwen2.5:7b-instruct-fp16,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.45986111111111116,0.43313492063492065,0.1830666916795643,37.881250177143556,0.8557220006718191,0.05789077094192187,1.0
qwen2.5:7b-instruct-fp16,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.44527777777777783,0.43313492063492065,0.08449727863209272,37.97484516963512,0.9331049619172447,0.02672038565632898,1.0
qwen2.5:7b-instruct-fp16,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.6,3,40,40,0.675109126984127,0.6027579365079365,1.9363379959183886,77.89378485157938,0.05645359769562886,0.43297833862892277,0.1693607930868866
qwen2.5:7b-instruct-fp16,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.1,0.9,3,40,40,0.675109126984127,0.6163591269841271,1.5938674401554271,77.66648340817815,0.11502750939066342,0.35639959433111135,0.34508252817199025
qwen2.5:7b-instruct-fp16,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,max_private_risk,0.6,0.9,3,40,40,0.6027579365079365,0.6163591269841271,-0.37620225788075595,77.93592643694093,0.707788714608574,-0.08412138219102763,1.0
