model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,nearest_strategy_set,n_players,mean_min_mismatch_rate
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,10,0.21691544566544568
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|AU,2,0.5
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|CS,5,0.3353535353535354
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,CS,3,0.1717171717171717
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,2,0.4365079365079365
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|AU,2,0.5
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,13,0.2713298453683069
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU|CS,1,0.4
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,CS,2,0.25384615384615383
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|AU|CAS,2,0.5
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,12,0.08187240999741
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU|CAS,5,0.3347186147186147
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,CAS,1,0.25
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,10,0.0
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,10,0.05323523698523699
qwen2.5:7b-instruct-fp16,0.1,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,10,0.0
qwen2.5:7b-instruct-fp16,0.1,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,10,0.07237234987234988
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,10,0.4359933122433122
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|AU,4,0.5
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|CS,2,0.4
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,19,0.2598598769651401
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU|CS,3,0.4064814814814815
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,CS,2,0.2
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,12,0.3113899988899989
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|CS,4,0.3666666666666667
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU,1,0.4
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AU|CS,1,0.42857142857142855
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,CS,2,0.16666666666666666
qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS,6,0.4495030432530432
qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,AS|AU,5,0.5
