model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,n_players,n_races,n_decisions,n_decisions_round2plus,mean_phi_U,median_phi_U,sd_phi_U,mean_phi_U_round2plus,median_phi_U_round2plus,mean_n_rounds,median_n_rounds,parse_failure_rate,n_decisions_all_races,n_races_recorded,n_races_excluded
qwen2.5:7b-instruct-fp16,0.1,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.28815469252969256,0.2111111111111111,0.14242325533044548,0.3283531746031746,0.25,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.1,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.654209471084471,0.6306818181818181,0.1515989960827537,0.7246230158730158,0.7166666666666666,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.1,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.8015719003219003,0.8444444444444444,0.17716686639902585,0.7749007936507937,0.8125,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.1,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.4733823815073815,0.4090909090909091,0.4876746444461872,0.47069444444444447,0.4,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.1,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.463813825063825,0.4230769230769231,0.4779561563402352,0.45986111111111116,0.4166666666666667,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.1,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,40,20,372,332,0.6054359182484182,0.5634920634920635,0.17009017573675397,0.675109126984127,0.6458333333333333,9.3,9.0,0.0,372,20,0
qwen2.5:7b-instruct-fp16,0.6,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.3509609834609835,0.3693181818181818,0.13055040514429858,0.4022420634920635,0.41428571428571426,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.6,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.5935505466755467,0.5,0.16652137900076752,0.658531746031746,0.5714285714285714,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.6,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.7728844766344767,0.7777777777777778,0.1577706044322006,0.7427380952380952,0.75,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.6,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.4683823815073815,0.4,0.4835657629134931,0.4651388888888889,0.3888888888888889,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.6,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.45058781496281497,0.40625,0.46509236661776965,0.4452777777777778,0.4,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.6,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,40,20,372,332,0.5360494366744366,0.5,0.15038398108640885,0.6027579365079365,0.5277777777777778,9.3,9.0,0.0,372,20,0
qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.30336913086913087,0.26136363636363635,0.1390218293396988,0.34863095238095243,0.2928571428571428,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.6174316655566655,0.595959595959596,0.17020899563077505,0.6819841269841269,0.6458333333333333,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.9,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.7577883227883228,0.7777777777777778,0.18273909068942173,0.7258730158730159,0.75,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.9,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.46953622766122766,0.4090909090909091,0.4842325530931802,0.46652777777777776,0.4,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.9,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,20,10,186,166,0.4397923604173604,0.36363636363636365,0.4546414195302686,0.43313492063492065,0.35,9.3,9.0,0.0,186,10,0
qwen2.5:7b-instruct-fp16,0.9,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,40,20,372,332,0.5529972111222111,0.5,0.16336419114592213,0.616359126984127,0.5555555555555556,9.3,9.0,0.0,372,20,0
