matchup,player,opponent,max_private_risk,mean,sd,n_reps
Gemini vs Haiku,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.1,0.5538725490196079,0.08563913953128618,10
Gemini vs Haiku,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.6,0.5401633986928105,0.11832860561216264,10
Gemini vs Haiku,Claude Haiku 4.5,Gemini 3.5 Flash-Lite,0.9,0.41066993464052287,0.09878901279464883,10
Gemini vs Haiku,Gemini 3.5 Flash-Lite,Claude Haiku 4.5,0.1,0.4935947712418301,0.11221518294690884,10
Gemini vs Haiku,Gemini 3.5 Flash-Lite,Claude Haiku 4.5,0.6,0.455718954248366,0.10439953252748553,10
Gemini vs Haiku,Gemini 3.5 Flash-Lite,Claude Haiku 4.5,0.9,0.4006699346405228,0.0809440193169028,10
Gemini vs Luna,GPT Luna,Gemini 3.5 Flash-Lite,0.1,0.6989705882352941,0.06509359727738454,10
Gemini vs Luna,GPT Luna,Gemini 3.5 Flash-Lite,0.6,0.6527614379084967,0.11641742338681577,10
Gemini vs Luna,GPT Luna,Gemini 3.5 Flash-Lite,0.9,0.5368790849673203,0.10821594552911622,10
Gemini vs Luna,Gemini 3.5 Flash-Lite,GPT Luna,0.1,0.7164705882352942,0.09416733437889521,10
Gemini vs Luna,Gemini 3.5 Flash-Lite,GPT Luna,0.6,0.62109477124183,0.06811251856335068,10
Gemini vs Luna,Gemini 3.5 Flash-Lite,GPT Luna,0.9,0.5363235294117648,0.12357575340250768,10
Luna vs Haiku,Claude Haiku 4.5,GPT Luna,0.1,0.5017810457516341,0.07187117708554112,10
Luna vs Haiku,Claude Haiku 4.5,GPT Luna,0.6,0.4285294117647059,0.10799227161004608,10
Luna vs Haiku,Claude Haiku 4.5,GPT Luna,0.9,0.35362745098039217,0.03289406840144551,10
Luna vs Haiku,GPT Luna,Claude Haiku 4.5,0.1,0.5462745098039216,0.08498843377695406,10
Luna vs Haiku,GPT Luna,Claude Haiku 4.5,0.6,0.4644117647058824,0.11817808621893132,10
Luna vs Haiku,GPT Luna,Claude Haiku 4.5,0.9,0.3761764705882353,0.05680975669479812,10
